benchmark,case_id,phase,strip_id,alpha_rad,relative_speed_m_s,delta_t_tilde,strip_area_m2,normalized_strip_weight,strip_persistence,previous_cycle_strip_persistence,global_persistence,previous_cycle_global_persistence,signed_fast_rad,signed_slow_rad,magnitude_fast_rad,magnitude_slow_rad,reference_fraction_chord,canonical_eligible
izraelevitz2017_fig14,theta_15_psi_30,0.2578125,19,0.4183916139349406,3.5980829351215338,0.11066938161668102,0.0018672036583398939,0.06029523872436986,0.026824859002198772,0.026824859002198772,0.026824859002198758,0.026824859002198758,0.23497266480091272,-0.008671177072189824,0.3781618047810525,0.3232515433344521,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2578125,20,0.4183916139349407,3.5980829351215338,0.11066938161668102,0.0016034041314037524,0.05177669529663677,0.02682485900219873,0.02682485900219873,0.026824859002198758,0.026824859002198758,0.23497266480091272,-0.00867117707218981,0.3781618047810525,0.3232515433344521,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2578125,21,0.41839161393494073,3.5980829351215338,0.11066938161668102,0.0012303352626630653,0.03972965564947278,0.02682485900219873,0.02682485900219873,0.026824859002198758,0.026824859002198758,0.23497266480091272,-0.00867117707218981,0.3781618047810525,0.3232515433344521,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2578125,22,0.4183916139349407,3.5980829351215338,0.11066938161668102,0.0007734210789970417,0.02497510562615739,0.026824859002198723,0.026824859002198723,0.026824859002198758,0.026824859002198758,0.23497266480091275,-0.008671177072189808,0.3781618047810525,0.3232515433344521,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.2578125,23,0.4183916139349406,3.5980829351215338,0.11066938161668102,0.0002637995269361363,0.008518543427732924,0.02682485900219879,0.02682485900219879,0.026824859002198758,0.026824859002198758,0.23497266480091272,-0.00867117707218983,0.3781618047810525,0.3232515433344521,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,0,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0002637995269361363,0.008518543427732924,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,1,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0007734210789970417,0.02497510562615739,0.022978919728978964,0.022978919728978964,0.022978919728978996,0.022978919728978996,0.24055655916214755,-0.007434337156497044,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,2,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0012303352626630653,0.03972965564947278,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,3,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0016034041314037524,0.05177669529663677,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,4,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.0018672036583398939,0.06029523872436986,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,5,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.0020037563416601106,0.06470476127563028,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,6,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.002003756341660111,0.0647047612756303,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,7,0.40613715563688274,3.5944145333788446,0.11055654937804024,0.001867203658339894,0.06029523872436986,0.022978919728979013,0.022978919728979013,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497059,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,8,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.0016034041314037521,0.05177669529663676,0.02297891972897897,0.02297891972897897,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.007434337156497045,0.37907444386369454,0.3235285750670655,0.75,false
izraelevitz2017_fig14,theta_15_psi_30,0.265625,9,0.4061371556368827,3.5944145333788446,0.11055654937804024,0.001230335262663066,0.0397296556494728,0.02297891972897903,0.02297891972897903,0.022978919728978996,0.022978919728978996,0.24055655916214752,-0.0074343371564970645,0.37907444386369454,0.3235285750670655,0.75,false
