model,model_label,data_role,phase,CL_alpha,CD_alpha,CL,CD,CT
paper_uvlm,Authors' UVLM reference,author_reference,0.49218750,1.45376367,0.00786642,0.3762617248741361,0.0020359793127753714,-0.0020359793127753714
paper_uvlm,Authors' UVLM reference,author_reference,0.50000000,1.20963794,0.04128728,0.31307733655058023,0.010685934384480403,-0.010685934384480403
paper_uvlm,Authors' UVLM reference,author_reference,0.50781250,0.9747968,0.0598879,0.2522959769449929,0.015500129091195252,-0.015500129091195252
paper_uvlm,Authors' UVLM reference,author_reference,0.51562500,0.71435431,0.0652059,0.1848885003790701,0.016876528773050455,-0.016876528773050455
paper_uvlm,Authors' UVLM reference,author_reference,0.52343750,0.52623047,0.0652059,0.13619846774925068,0.016876528773050455,-0.016876528773050455
paper_uvlm,Authors' UVLM reference,author_reference,0.53125000,0.3514445,0.05278729,0.09096052989653285,0.013662355991349842,-0.013662355991349842
paper_uvlm,Authors' UVLM reference,author_reference,0.53906250,0.13657965,0.01371972,0.0353494145934365,0.0035509248294739557,-0.0035509248294739557
paper_uvlm,Authors' UVLM reference,author_reference,0.54687500,-0.08445676,-0.04259173,-0.021859017975652772,-0.011023550887864386,0.011023550887864386
paper_uvlm,Authors' UVLM reference,author_reference,0.55468750,-0.25488865,-0.08673752,-0.06597003700047062,-0.022449322100960796,0.022449322100960796
paper_uvlm,Authors' UVLM reference,author_reference,0.56250000,-0.42455833,-0.15521463,-0.10988378156092088,-0.04017250232254107,0.04017250232254107
paper_uvlm,Authors' UVLM reference,author_reference,0.57031250,-0.62028002,-0.24155633,-0.1605402824725725,-0.06251937866906938,0.06251937866906938
paper_uvlm,Authors' UVLM reference,author_reference,0.57812500,-0.76435423,-0.31675956,-0.19782943192867253,-0.08198340684629463,0.08198340684629463
paper_uvlm,Authors' UVLM reference,author_reference,0.58593750,-0.8956136,-0.40257861,-0.23180185673283096,-0.10419501141890011,0.10419501141890011
paper_uvlm,Authors' UVLM reference,author_reference,0.59375000,-1.06344476,-0.49988691,-0.27523975730247935,-0.12938025270544973,0.12938025270544973
paper_uvlm,Authors' UVLM reference,author_reference,0.60156250,-1.3180467,-0.64851004,-0.3411355882945286,-0.16784674929219753,0.16784674929219753
paper_uvlm,Authors' UVLM reference,author_reference,0.60937500,-1.50905019,-0.76517157,-0.39057092918757746,-0.1980409750869966,0.1980409750869966
paper_uvlm,Authors' UVLM reference,author_reference,0.61718750,-1.61734151,-0.87305437,-0.418598785222869,-0.22596309836598283,0.22596309836598283
paper_uvlm,Authors' UVLM reference,author_reference,0.62500000,-1.76092687,-1.00335517,-0.4557614109887707,-0.2596874269980774,0.2596874269980774
paper_uvlm,Authors' UVLM reference,author_reference,0.63281250,-1.93482291,-1.13604906,-0.5007690180086805,-0.29403113289881627,0.29403113289881627
paper_uvlm,Authors' UVLM reference,author_reference,0.64062500,-2.11375711,-1.27567832,-0.5470805967888639,-0.33016984464038784,0.33016984464038784
paper_uvlm,Authors' UVLM reference,author_reference,0.64843750,-2.26955254,-1.4124458,-0.5874034212128004,-0.365567873215066,0.365567873215066
paper_uvlm,Authors' UVLM reference,author_reference,0.65625000,-2.48012963,-1.57743732,-0.6419047825670681,-0.4082708208714794,0.4082708208714794
paper_uvlm,Authors' UVLM reference,author_reference,0.66406250,-2.66139733,-1.72128172,-0.6888203155889983,-0.44550049112282447,0.44550049112282447
paper_uvlm,Authors' UVLM reference,author_reference,0.67187500,-2.84708931,-1.88357029,-0.7368809365357947,-0.4875038638412781,0.4875038638412781
paper_uvlm,Authors' UVLM reference,author_reference,0.67968750,-3.05748667,-2.04955232,-0.7913357803430859,-0.5304631743500561,0.5304631743500561
paper_uvlm,Authors' UVLM reference,author_reference,0.68750000,-3.24148799,-2.20783878,-0.8389588262830893,-0.5714307247799143,0.5714307247799143
paper_uvlm,Authors' UVLM reference,author_reference,0.69531250,-3.41733449,-2.34614278,-0.8844712494977097,-0.6072264339937734,0.6072264339937734
paper_uvlm,Authors' UVLM reference,author_reference,0.70312500,-3.60472632,-2.49584085,-0.9329718239983237,-0.6459711455248637,0.6459711455248637
paper_uvlm,Authors' UVLM reference,author_reference,0.71093750,-3.8404216,-2.66439941,-0.9939742513030949,-0.6895973110679197,0.6895973110679197
paper_uvlm,Authors' UVLM reference,author_reference,0.71875000,-4.01780051,-2.79568808,-1.0398832914106209,-0.7235773192700996,0.7235773192700996
paper_uvlm,Authors' UVLM reference,author_reference,0.72656250,-4.20043103,-2.92617823,-1.0871515482035976,-0.7573506552883843,0.7573506552883843
paper_uvlm,Authors' UVLM reference,author_reference,0.73437500,-4.39079072,-3.05328742,-1.1364202613954095,-0.7902489344679392,0.7902489344679392
paper_uvlm,Authors' UVLM reference,author_reference,0.74218750,-4.58146034,-3.18060355,-1.1857691903738699,-0.8232007736606876,0.8232007736606876
paper_uvlm,Authors' UVLM reference,author_reference,0.75000000,-4.74678865,-3.2707391,-1.2285593056964836,-0.8465295706414782,0.8465295706414782
paper_uvlm,Authors' UVLM reference,author_reference,0.75781250,-4.8965349,-3.34561222,-1.267316487129167,-0.8659081600637245,0.8659081600637245
paper_uvlm,Authors' UVLM reference,author_reference,0.76562500,-5.0342203,-3.40765756,-1.3029520908817256,-0.8819666757155858,0.8819666757155858
paper_uvlm,Authors' UVLM reference,author_reference,0.77343750,-5.19872619,-3.45611148,-1.345529348245266,-0.8945074730214597,0.8945074730214597
paper_uvlm,Authors' UVLM reference,author_reference,0.78125000,-5.31747494,-3.48088775,-1.3762637863273839,-0.900920043564062,0.900920043564062
paper_uvlm,Authors' UVLM reference,author_reference,0.78906250,-5.42765451,-3.49444234,-1.40478035742459,-0.9044282296046181,0.9044282296046181
paper_uvlm,Authors' UVLM reference,author_reference,0.79687500,-5.52847508,-3.47231063,-1.430874641078682,-0.8987001215559322,0.8987001215559322
paper_uvlm,Authors' UVLM reference,author_reference,0.80468750,-5.59187593,-3.43599989,-1.44728398853437,-0.8893022105021663,0.8893022105021663
paper_uvlm,Authors' UVLM reference,author_reference,0.81250000,-5.641848,-3.38523275,-1.4602177119735666,-0.8761627078047803,0.8761627078047803
paper_uvlm,Authors' UVLM reference,author_reference,0.82031250,-5.67953881,-3.31038957,-1.469972811426907,-0.8567918674247442,0.8567918674247442
paper_uvlm,Authors' UVLM reference,author_reference,0.82812500,-5.68636551,-3.19595529,-1.4717396914021084,-0.8271740963481498,0.8271740963481498
paper_uvlm,Authors' UVLM reference,author_reference,0.83593750,-5.67598915,-3.09177153,-1.4690540918152684,-0.8002093550697595,0.8002093550697595
paper_uvlm,Authors' UVLM reference,author_reference,0.84375000,-5.64159128,-2.96411939,-1.4601512679483077,-0.7671705500896663,0.7671705500896663
paper_uvlm,Authors' UVLM reference,author_reference,0.85156250,-5.57798145,-2.80811559,-1.443687832488574,-0.7267937955413016,0.7267937955413016
paper_uvlm,Authors' UVLM reference,author_reference,0.85937500,-5.48651035,-2.64020168,-1.4200133697320967,-0.683334477695671,0.683334477695671
paper_uvlm,Authors' UVLM reference,author_reference,0.86718750,-5.38422117,-2.46651535,-1.3935389818401769,-0.6383811476177097,0.6383811476177097
paper_uvlm,Authors' UVLM reference,author_reference,0.87500000,-5.24421718,-2.28786206,-1.357303282837834,-0.592142273695486,0.592142273695486
paper_uvlm,Authors' UVLM reference,author_reference,0.88281250,-5.03324041,-2.05721727,-1.30269847668762,-0.5324470093898146,0.5324470093898146
paper_uvlm,Authors' UVLM reference,author_reference,0.89062500,-4.85413878,-1.87003993,-1.2563435638347151,-0.4840019489861847,0.4840019489861847
paper_uvlm,Authors' UVLM reference,author_reference,0.89843750,-4.66057892,-1.68300113,-1.2062465856993374,-0.43559274537306336,0.43559274537306336
paper_uvlm,Authors' UVLM reference,author_reference,0.90625000,-4.44436785,-1.48106865,-1.150287043021343,-0.38332877372427954,0.38332877372427954
paper_uvlm,Authors' UVLM reference,author_reference,0.91406250,-4.16842337,-1.25952836,-1.0788673562064315,-0.325989927414744,0.325989927414744
paper_uvlm,Authors' UVLM reference,author_reference,0.92187500,-3.91180491,-1.08794711,-1.012449611433552,-0.28158143213224707,0.28158143213224707
paper_uvlm,Authors' UVLM reference,author_reference,0.92968750,-3.66822856,-0.91932544,-0.9494074131169947,-0.23793893251925474,0.23793893251925474
paper_uvlm,Authors' UVLM reference,author_reference,0.93750000,-3.34678156,-0.72349645,-0.8662108075259247,-0.18725466032406363,0.18725466032406363
paper_uvlm,Authors' UVLM reference,author_reference,0.94531250,-3.07698114,-0.572797,-0.7963813204532657,-0.14825077257758856,0.14825077257758856
paper_uvlm,Authors' UVLM reference,author_reference,0.95312500,-2.79585654,-0.44397923,-0.7236209199264375,-0.11491028035395243,0.11491028035395243
paper_uvlm,Authors' UVLM reference,author_reference,0.96093750,-2.53853066,-0.32911954,-0.6570200813846718,-0.08518240506738088,0.08518240506738088
paper_uvlm,Authors' UVLM reference,author_reference,0.96875000,-2.22376602,-0.19984446,-0.575552997827833,-0.0517235523062289,0.0517235523062289
paper_uvlm,Authors' UVLM reference,author_reference,0.97656250,-1.98068712,-0.12070069,-0.5126395490452619,-0.031239637329015375,0.031239637329015375
paper_uvlm,Authors' UVLM reference,author_reference,0.98437500,-1.72155784,-0.04985711,-0.4455719562375582,-0.012903969601771339,0.012903969601771339
paper_uvlm,Authors' UVLM reference,author_reference,0.99218750,-1.432838,0.00634901,-0.37084576294660565,0.0016432447055463554,-0.0016432447055463554
6_state,6-State ULLT,author_model,0.00000000,-1.25334351,-0.29176213,-0.3243891704436417,-0.07551359588367752,0.07551359588367752
6_state,6-State ULLT,author_model,0.00781250,-0.9382646,-0.23531353,-0.24284074782549858,-0.060903623134303364,0.060903623134303364
6_state,6-State ULLT,author_model,0.01562500,-0.69876581,-0.21639862,-0.18085389969448945,-0.05600808418990325,0.05600808418990325
6_state,6-State ULLT,author_model,0.02343750,-0.47269043,-0.20660283,-0.12234128572169992,-0.053472747176078424,0.053472747176078424
6_state,6-State ULLT,author_model,0.03125000,-0.26134453,-0.20660283,-0.06764094169736709,-0.053472747176078424,0.053472747176078424
6_state,6-State ULLT,author_model,0.03906250,-0.01016254,-0.22280458,-0.002630258898616171,-0.057666068640068194,0.057666068640068194
6_state,6-State ULLT,author_model,0.04687500,0.17767397,-0.2476938,0.045985407254973916,-0.06410787279381475,0.06410787279381475
6_state,6-State ULLT,author_model,0.05468750,0.36431358,-0.28631139,0.0942912928934808,-0.07410284056177541,0.07410284056177541
6_state,6-State ULLT,author_model,0.06250000,0.57747349,-0.35316484,0.14946113725382007,-0.09140578665258452,0.09140578665258452
6_state,6-State ULLT,author_model,0.07031250,0.74300851,-0.41332659,0.19230475306124672,-0.10697679333928109,0.10697679333928109
6_state,6-State ULLT,author_model,0.07812500,0.90524039,-0.47611782,0.23429345332803347,-0.12322835952869386,0.12322835952869386
6_state,6-State ULLT,author_model,0.08593750,1.06664897,-0.55140407,0.27606906787498725,-0.14271387486304352,0.14271387486304352
6_state,6-State ULLT,author_model,0.09375000,1.25787635,-0.65959852,0.3255623557640442,-0.1707166590974359,0.1707166590974359
6_state,6-State ULLT,author_model,0.10156250,1.40870362,-0.74568498,0.36459932576086423,-0.1929974744708923,0.1929974744708923
6_state,6-State ULLT,author_model,0.10937500,1.55823805,-0.85319147,0.40330168414341394,-0.22082220155501595,0.22082220155501595
6_state,6-State ULLT,author_model,0.11718750,1.72893458,-0.96757656,0.44748119704032774,-0.2504272413227819,0.2504272413227819
6_state,6-State ULLT,author_model,0.12500000,1.89706818,-1.09383506,0.4909973748419769,-0.2831053457288585,0.2831053457288585
6_state,6-State ULLT,author_model,0.13281250,2.04662463,-1.20604797,0.5297054324198999,-0.31214818394323357,0.31214818394323357
6_state,6-State ULLT,author_model,0.14062500,2.20645536,-1.32795087,0.5710726693365387,-0.34369897611646166,0.34369897611646166
6_state,6-State ULLT,author_model,0.14843750,2.40361657,-1.49245676,0.6221017454399962,-0.386276233480002,0.386276233480002
6_state,6-State ULLT,author_model,0.15625000,2.57237248,-1.62401089,0.6657789889216031,-0.42032494778589485,0.42032494778589485
6_state,6-State ULLT,author_model,0.16406250,2.72882568,-1.75535487,0.7062720567488368,-0.4543192712694594,0.4543192712694594
6_state,6-State ULLT,author_model,0.17187500,2.91002627,-1.90210385,0.7531702204246502,-0.49230070214282834,0.49230070214282834
6_state,6-State ULLT,author_model,0.17968750,3.1206818,-2.07827643,0.8076918835448156,-0.5378975210716758,0.5378975210716758
6_state,6-State ULLT,author_model,0.18750000,3.29100936,-2.21372099,0.8517758999786579,-0.5729531527552069,0.5729531527552069
6_state,6-State ULLT,author_model,0.19531250,3.4667224,-2.36391962,0.897253781203519,-0.6118274187475137,0.6118274187475137
6_state,6-State ULLT,author_model,0.20312500,3.68819216,-2.55084352,0.9545743730058034,-0.6602068840523527,0.6602068840523527
6_state,6-State ULLT,author_model,0.21093750,3.86976081,-2.68862008,1.001567797619357,-0.695866081749063,0.695866081749063
6_state,6-State ULLT,author_model,0.21875000,4.04927747,-2.82778365,1.048030128140551,-0.7318842640495208,0.7318842640495208
