aoa_deg,model,model_label,phase,lift_n,drag_n,thrust_n,CL,CD,CT
0.0,fluxv_uvpm,FluxV current load channel,0.4453125,0.4789440631690261,-0.07593795122680466,0.07593795122680466,0.7921381659719575,-0.1255957721126194,0.1255957721126194
0.0,fluxv_uvpm,FluxV current load channel,0.453125,0.49377025093159566,-0.08021820897476413,0.08021820897476413,0.8166595873356314,-0.1326750028267901,0.1326750028267901
0.0,fluxv_uvpm,FluxV current load channel,0.4609375,0.5080466642031366,-0.08447597361989269,0.08447597361989269,0.8402717222282714,-0.13971703160738716,0.13971703160738716
0.0,fluxv_uvpm,FluxV current load channel,0.46875,0.5215455178706643,-0.08868987064475596,0.08868987064475596,0.8625978308685314,-0.14668650657860496,0.14668650657860496
0.0,fluxv_uvpm,FluxV current load channel,0.4765625,0.5341656097282114,-0.0928384480288881,0.0928384480288881,0.8834705322697949,-0.15354794768033841,0.15354794768033841
0.0,fluxv_uvpm,FluxV current load channel,0.484375,0.5459313416553692,-0.0969116803634701,0.0969116803634701,0.9029301853416554,-0.16028477362561536,0.16028477362561536
0.0,fluxv_uvpm,FluxV current load channel,0.4921875,0.5567585895079314,-0.10089221632219866,0.10089221632219866,0.9208376549524138,-0.1668682866001146,0.1668682866001146
0.0,fluxv_uvpm,FluxV current load channel,0.5,0.5665605659874593,-0.10476148033707598,0.10476148033707598,0.9370494013096355,-0.17326776398402058,0.17326776398402058
0.0,fluxv_uvpm,FluxV current load channel,0.5078125,0.5747271027935801,-0.10842546516346074,0.10842546516346074,0.9505562510347151,-0.17932772472623612,0.17932772472623612
0.0,fluxv_uvpm,FluxV current load channel,0.515625,0.5815563149063796,-0.11189851301518476,0.11189851301518476,0.9618512643234742,-0.18507188979092887,0.18507188979092887
0.0,fluxv_uvpm,FluxV current load channel,0.5234375,0.5869481824766228,-0.11515007230418783,0.11515007230418783,0.9707690157201522,-0.19044972910414107,0.19044972910414107
0.0,fluxv_uvpm,FluxV current load channel,0.53125,0.5908028999918269,-0.11814808402787552,0.11814808402787552,0.9771444342661716,-0.19540821943942324,0.19540821943942324
0.0,fluxv_uvpm,FluxV current load channel,0.5390625,0.592716636662966,-0.12079877050343958,0.12079877050343958,0.980309613612584,-0.19979225942402362,0.19979225942402362
0.0,fluxv_uvpm,FluxV current load channel,0.546875,0.5924065876253315,-0.12300855314820293,0.12300855314820293,0.9797968153655233,-0.20344707698212694,0.20344707698212694
0.0,fluxv_uvpm,FluxV current load channel,0.5546875,0.5901589485931228,-0.12480078618275989,0.12480078618275989,0.976079386133892,-0.20641129827259375,0.20641129827259375
0.0,fluxv_uvpm,FluxV current load channel,0.5625,0.5858968396734614,-0.1261323426508718,0.1261323426508718,0.9690301722435388,-0.20861359448973263,0.20861359448973263
0.0,fluxv_uvpm,FluxV current load channel,0.5703125,0.5795487219574257,-0.12695951326283814,0.12695951326283814,0.9585308536139644,-0.20998167369124404,0.20998167369124404
0.0,fluxv_uvpm,FluxV current load channel,0.578125,0.5703065767681965,-0.1270234319572494,0.1270234319572494,0.9432450269322401,-0.21008739049881286,0.21008739049881286
0.0,fluxv_uvpm,FluxV current load channel,0.5859375,0.5587197172998979,-0.1264103277069436,0.1264103277069436,0.9240812157183329,-0.20907336127549736,0.20907336127549736
0.0,fluxv_uvpm,FluxV current load channel,0.59375,0.5449085368708082,-0.12511507037574143,0.12511507037574143,0.9012385416435822,-0.206931101154323,0.206931101154323
0.0,fluxv_uvpm,FluxV current load channel,0.6015625,0.5288847700932228,-0.12310402764689228,0.12310402764689228,0.8747364128914833,-0.20360498476323285,0.20360498476323285
0.0,fluxv_uvpm,FluxV current load channel,0.609375,0.5104408257031978,-0.12025938756067373,0.12025938756067373,0.8442314888180283,-0.19890015980760492,0.19890015980760492
0.0,fluxv_uvpm,FluxV current load channel,0.6171875,0.48934545165064425,-0.11642042234318238,0.11642042234318238,0.8093412955835319,-0.1925507944005208,0.1925507944005208
0.0,fluxv_uvpm,FluxV current load channel,0.625,0.46631583861721027,-0.11180189307268999,0.11180189307268999,0.7712520136940303,-0.18491208753022706,0.18491208753022706
0.0,fluxv_uvpm,FluxV current load channel,0.6328125,0.4414742904191945,-0.10641910789080404,0.10641910789080404,0.7301659246437198,-0.1760093577342104,0.1760093577342104
0.0,fluxv_uvpm,FluxV current load channel,0.640625,0.41495348168554924,-0.10029515001487925,0.10029515001487925,0.6863024624862427,-0.1658807829519553,0.1658807829519553
0.0,fluxv_uvpm,FluxV current load channel,0.6484375,0.3865728659837895,-0.09330183220109123,0.09330183220109123,0.639363016734698,-0.15431435093394733,0.15431435093394733
0.0,fluxv_uvpm,FluxV current load channel,0.65625,0.3568873864949797,-0.0856730717623227,0.0856730717623227,0.5902654224923299,-0.14169694366801183,0.14169694366801183
0.0,fluxv_uvpm,FluxV current load channel,0.6640625,0.3262402218353414,-0.07757927664078763,0.07757927664078763,0.5395772718864024,-0.1283104033256945,0.1283104033256945
0.0,fluxv_uvpm,FluxV current load channel,0.671875,0.2948099894159498,-0.06912254369594614,0.06912254369594614,0.48759398494463974,-0.11432359058452218,0.11432359058452218
0.0,fluxv_uvpm,FluxV current load channel,0.6796875,0.2627575678481994,-0.060411477875338085,0.060411477875338085,0.43458164302804864,-0.09991613001983775,0.09991613001983775
0.0,fluxv_uvpm,FluxV current load channel,0.6875,0.23027863991683054,-0.05165831672785747,0.05165831672785747,0.38086389103409557,-0.08543904688836718,0.08543904688836718
0.0,fluxv_uvpm,FluxV current load channel,0.6953125,0.1977011537741137,-0.04308457267676702,0.04308457267676702,0.32698313102567406,-0.07125870640516772,0.07125870640516772
0.0,fluxv_uvpm,FluxV current load channel,0.703125,0.16514324053787857,-0.03482626591577559,0.03482626591577559,0.2731347431613826,-0.05760007594130727,0.05760007594130727
