benchmark,case_id,phase,strip_id,alpha_rad,alpha_sep_rad,strip_area_m2,normalized_strip_weight,region_A,region_L,region_P,wA,wL,wP,canonical_eligible
yang2025,aoa_0,0.0234375,0,-0.15048149414576553,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,1,-0.18444456649068613,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,2,-0.2179827823747126,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,3,-0.25103017525674776,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,4,-0.28352696685284234,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,5,-0.3154199890269279,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,6,-0.34666292773438284,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,7,-0.37721639905625004,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,8,-0.40704787348518134,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,9,-0.43613146895052773,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,10,-0.4644476355898148,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0234375,11,-0.49198275613566367,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,0,-0.14969645100372972,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,1,-0.18348961054923085,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,2,-0.21686432620347412,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,3,-0.24975549331718905,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,4,-0.2821040488191291,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,5,-0.3138573884174592,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,6,-0.3449696111779719,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,7,-0.3754016008752466,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,8,-0.4051209594551903,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,9,-0.43410181218067095,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,10,-0.46232450653880314,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.03125,11,-0.4897752279028123,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,0,-0.14865137181137847,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,1,-0.18221816274569258,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,2,-0.21537495062459427,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,3,-0.2480577704895698,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,4,-0.28020850772461897,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
