t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
2.04000000,1.970914016,1.178210005,4.13b,digitized_experimental_curve
2.05000000,1.979476429,1.186772418,4.13b,digitized_experimental_curve
2.06000000,1.988038843,1.192123386,4.13b,digitized_experimental_curve
2.07000000,1.999484209,1.194963117,4.13b,digitized_experimental_curve
2.08000000,2.016609036,1.194963117,4.13b,digitized_experimental_curve
2.09000000,2.021875720,1.202868545,4.13b,digitized_experimental_curve
2.10000000,2.030522418,1.209248213,4.13b,digitized_experimental_curve
2.11000000,2.042540485,1.213116644,4.13b,digitized_experimental_curve
2.12000000,2.046821692,1.213116644,4.13b,digitized_experimental_curve
2.13000000,2.051102899,1.221888687,4.13b,digitized_experimental_curve
2.14000000,2.054230060,1.228962079,4.13b,digitized_experimental_curve
2.15000000,2.054230060,1.220399666,4.13b,digitized_experimental_curve
2.16000000,2.054230060,1.230163670,4.13b,digitized_experimental_curve
2.17000000,2.052334745,1.239216661,4.13b,digitized_experimental_curve
2.18000000,2.048053538,1.243497868,4.13b,digitized_experimental_curve
2.19000000,2.043772332,1.247779074,4.13b,digitized_experimental_curve
2.20000000,2.034217958,1.249423698,4.13b,digitized_experimental_curve
2.21000000,2.021374337,1.250290312,4.13b,digitized_experimental_curve
2.22000000,2.008530717,1.254571519,4.13b,digitized_experimental_curve
2.23000000,1.999064949,1.262230579,4.13b,digitized_experimental_curve
2.24000000,1.987286768,1.269185108,4.13b,digitized_experimental_curve
2.25000000,1.970161941,1.273466315,4.13b,digitized_experimental_curve
2.26000000,1.961275357,1.277747522,4.13b,digitized_experimental_curve
2.27000000,1.952712944,1.282028729,4.13b,digitized_experimental_curve
2.28000000,1.942992162,1.286309935,4.13b,digitized_experimental_curve
2.29000000,1.925867335,1.290591142,4.13b,digitized_experimental_curve
2.30000000,1.914923352,1.297962771,4.13b,digitized_experimental_curve
2.31000000,1.905040485,1.305204731,4.13b,digitized_experimental_curve
2.32000000,1.892196865,1.309485938,4.13b,digitized_experimental_curve
2.33000000,1.887016626,1.317598836,4.13b,digitized_experimental_curve
2.34000000,1.880673698,1.322037805,4.13b,digitized_experimental_curve
2.35000000,1.872986543,1.322621312,4.13b,digitized_experimental_curve
2.36000000,1.877267750,1.331183725,4.13b,digitized_experimental_curve
2.37000000,1.875942975,1.336943148,4.13b,digitized_experimental_curve
2.38000000,1.873727812,1.341224355,4.13b,digitized_experimental_curve
