case_id,t_star,experiment_CL,data_role
fast_pitch,2.03,1.962351602,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.04,1.970914016,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.05,1.979476429,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.06,1.988038843,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.07,1.999484209,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.08,2.016609036,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.09,2.02187572,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.1,2.030522418,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.11,2.042540485,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.12,2.046821692,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.13,2.051102899,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.14,2.05423006,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.15,2.05423006,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.16,2.05423006,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.17,2.052334745,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.18,2.048053538,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.19,2.043772332,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.2,2.034217958,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.21,2.021374337,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.22,2.008530717,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.23,1.999064949,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.24,1.987286768,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.25,1.970161941,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.26,1.961275357,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.27,1.952712944,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.28,1.942992162,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.29,1.925867335,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.3,1.914923352,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.31,1.905040485,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.32,1.892196865,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.33,1.887016626,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.34,1.880673698,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.35,1.872986543,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.36,1.87726775,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.37,1.875942975,digitized_experimental_whole_wing_lift_curve
