axis,pivot_fraction_chord,s_over_c,pitch_deg,experiment_CL,fluxv_old_CL,fluxv_old_CD_diagnostic_only,fluxv_v4_ldvm_increment_CL,fluxv_v4_ldvm_increment_CD_diagnostic_only,ldvm_diagnostic_CL,ldvm_diagnostic_CD_diagnostic_only,source_figure,experimental_drag_available
leading_edge_axis,0.0,0.14,6.39191128752882,5.535094666,4.863497835185661,0.39863139958719324,4.782885522224263,0.4489891466455754,3.19587433476284,0.30699657247908846,21,False
leading_edge_axis,0.0,0.15,6.824084832220245,5.604319652,4.794891916539937,0.4155506595110619,4.732787410137255,0.4746604510897473,3.1716922129830007,0.3284986658433501,21,False
leading_edge_axis,0.0,0.16,7.259665539440124,5.519870126,4.736068960256914,0.43309617247026694,4.694771218192644,0.5016901949122778,3.159151578995555,0.35136491003970827,21,False
leading_edge_axis,0.0,0.17,7.698019811679568,5.085481447,4.690993153920321,0.45156705663951086,4.668211704355093,0.5298264632420702,3.1575863703378695,0.37568156638709055,21,False
leading_edge_axis,0.0,0.18,8.138625699209804,4.645559521,4.660822184112143,0.47133541008988206,4.661079642464811,0.5603762184770315,3.161268843371017,0.40093847442689146,21,False
leading_edge_axis,0.0,0.19,8.58105541461931,4.453095388,4.637748809908193,0.49179503372039035,4.660830421362662,0.5921376737927105,3.1728298388616283,0.4275121219969278,21,False
leading_edge_axis,0.0,0.2,9.024959785678439,4.337461676,4.625649489535713,0.5134302199274523,4.671988827416564,0.6257048131054809,3.164992187374037,0.45139012347102436,21,False
leading_edge_axis,0.0,0.21,9.470054752047837,4.257535201,4.6213431589474006,0.536068101723504,4.688111353632004,0.6603819906026085,3.1695296053480835,0.47734964167812965,21,False
leading_edge_axis,0.0,0.22,9.916109840121875,4.138828496,4.621655309577476,0.5593262144480973,4.703051580394367,0.6952097120981778,3.191785217292161,0.5065247621616829,21,False
leading_edge_axis,0.0,0.23,10.36293845575468,4.009405762,4.629500952150296,0.583735548616603,4.729911750155919,0.7324514950645525,3.1859612745483905,0.531106747484633,21,False
leading_edge_axis,0.0,0.24,10.810389791133886,3.94007371,4.64097452836984,0.6088013092264891,4.762613342943851,0.7713125023028076,3.2233151454539817,0.5639009395702848,21,False
leading_edge_axis,0.0,0.25,11.258342130711556,3.914974157,4.655269830759062,0.6343776237352269,4.785085116369627,0.8086703901257243,3.2613181102430784,0.597531324172685,21,False
leading_edge_axis,0.0,0.26,11.706697348627191,3.926309917,4.674347014304854,0.6609814393134773,4.779214064722789,0.840580672452831,3.262786979752377,0.6243300478289249,21,False
leading_edge_axis,0.0,0.27,12.155376407615252,3.968948844,4.6949619453364715,0.6879808089679075,4.776036616433039,0.8729795629240095,3.2843944911901617,0.655606159267998,21,False
leading_edge_axis,0.0,0.28,12.604315691331683,3.972175192,4.717553980278435,0.7154887481488541,4.8222407472468065,0.9163525895596463,3.274006337310243,0.6801433670485149,21,False
leading_edge_axis,0.0,0.29,13.053464024929399,3.956161574,4.742387327049461,0.7436956706393595,4.852441573675159,0.9568444325708978,3.301119652542975,0.7133872223480259,21,False
leading_edge_axis,0.0,0.3,13.502780260614866,3.933346628,4.768118286309347,0.7722246341674399,4.874146382760501,0.9957574101223868,3.3549206819813926,0.7535850713914243,21,False
leading_edge_axis,0.0,0.31,13.952231324830844,3.907669014,4.795119580755595,0.8012424075094664,4.89648627325687,1.0352051270774052,3.3425261312394814,0.7781609419929068,21,False
leading_edge_axis,0.0,0.32,14.401790641229372,3.883219406,4.823106562956572,0.8307392093236592,4.947254348301631,1.082376100498584,3.3995311040080356,0.8208061683600137,21,False
leading_edge_axis,0.0,0.33,14.851436858666819,3.864233782,4.851593667582025,0.860504368592888,5.019817471217695,1.136123586697522,3.3862860291487884,0.8454188262385434,21,False
leading_edge_axis,0.0,0.34,15.301152826202923,3.854961364,4.8808241981789315,0.8907404801519222,5.066475868037753,1.184078134844476,3.4173196544953144,0.8825704372524572,21,False
leading_edge_axis,0.0,0.35,15.750924767746698,3.859736587,4.9104391806115295,0.9213087483052578,5.078482263679529,1.2230684076805007,3.47118880332534,0.9264846525607188,21,False
leading_edge_axis,0.0,0.36,16.200741617824917,3.901792388,4.94030912291147,0.9521070623411816,5.036244962954527,1.2464513484557929,3.475325645770641,0.9569096713697124,21,False
leading_edge_axis,0.0,0.37,16.650594487217315,3.99312646,4.970543396700339,0.9833666552672204,5.013182574162829,1.2749902609982515,3.4892974991431824,0.9907814471099701,21,False
leading_edge_axis,0.0,0.38,17.10047623315051,4.103211299,5.00088576179207,1.0148560174616243,5.075351937538895,1.3293343281240317,3.5411394082295544,1.0365560482847462,21,False
leading_edge_axis,0.0,0.39,17.550381113589594,4.21635045,5.03133621818666,1.046575148924393,5.127130258165354,1.3814394186960448,3.5378744374174644,1.0655936127835481,21,False
leading_edge_axis,0.0,0.4,18.00030450910198,4.315075169,5.061865035804961,1.0786996908796578,5.133897615128887,1.4199776833572617,3.5597288255249997,1.103734543517729,21,False
leading_edge_axis,0.0,0.41,18.45024269895408,4.390041321,5.092391714188732,1.1110048110212372,5.179113624814076,1.4714256916007655,3.6432531936473986,1.1619949446976252,21,False
leading_edge_axis,0.0,0.42,18.90019268067434,4.439607771,5.122906120378988,1.143565849196398,5.2235896063786615,1.52345550602844,3.595241279255311,1.1772648877153653,21,False
leading_edge_axis,0.0,0.43,19.350152024387427,4.466949964,5.1533383168323414,1.1764434438305116,5.225178333306918,1.5613386732860757,3.583790307742057,1.205047818537252,21,False
leading_edge_axis,0.0,0.44,19.80011875488843,4.47570995,5.183709856561229,1.2094870957681607,5.229608072935004,1.6002510116415039,3.6699366499621853,1.267476750938319,21,False
leading_edge_axis,0.0,0.45,20.250091255756832,4.469332014,5.213956340549961,1.2428097651448358,5.237250614713784,1.640544372048533,3.71068777500526,1.3150442101557258,21,False
leading_edge_axis,0.0,0.46,20.700068190870244,4.488222683,5.244051194954145,1.2763772048781803,5.2917600720734725,1.6987806267608145,3.756533339236218,1.3652528955860748,21,False
leading_edge_axis,0.0,0.47,21.150048439516667,4.550153696,5.274043899446911,1.3100985344850222,5.44977714204296,1.7980335780738077,3.719622905799963,1.3847100528058667,21,False
leading_edge_axis,0.0,0.48,21.600031041960083,4.635342089,5.303804012328772,1.3441182784351249,5.328242053095672,1.7896592624485317,3.7469620986603567,1.4290601827814835,21,False
leading_edge_axis,0.0,0.49,22.050015152819608,4.73986817,5.333392545757963,1.3783217052175336,5.326000459888859,1.827457758104261,3.7945295086705455,1.4822817000827135,21,False
leading_edge_axis,0.0,0.5,22.5,4.849680283,5.362847628501745,1.4126679964250695,5.26819681116479,1.8422110694088625,3.840206071609959,1.535805079627854,21,False
leading_edge_axis,0.0,0.51,22.949984847180396,4.946761264,5.391962507022409,1.4473263177191853,5.4592448706651355,1.961552599534846,3.7852341154260793,1.5477808652238183,21,False
leading_edge_axis,0.0,0.52,23.399968958039917,5.021401235,5.420914158616414,1.482114556208086,5.415005724186612,1.9826453041055423,3.8200884542530114,1.597909138245737,21,False
leading_edge_axis,0.0,0.53,23.849951560483333,5.072551875,5.449655947018999,1.5170698310902824,5.4569499703088935,2.041103752357573,3.951747093400912,1.691793285036818,21,False
leading_edge_axis,0.0,0.54,24.29993180912976,5.103985884,5.478043061458174,1.5522707063858658,5.471314679886032,2.0881395201990145,3.8278429513549677,1.6725165006885787,21,False
leading_edge_axis,0.0,0.55,24.74990874424317,5.119238874,5.506242418846051,1.5875886770673993,5.484954847961548,2.135160914621851,3.946135314559042,1.763685236562868,21,False
leading_edge_axis,0.0,0.56,25.19988124511157,5.141796873,5.534140179680998,1.6230870688966736,5.527356207871875,2.1961473264849216,3.8948407705990133,1.7765646090608,21,False
leading_edge_axis,0.0,0.57,25.649847975612573,5.192229885,5.561681613664535,1.6587663057306425,5.482921819283602,2.216459335885321,3.9185142056338167,1.825580892460513,21,False
leading_edge_axis,0.0,0.58,26.099807319325656,5.242586732,5.589007328131446,1.694546195925976,5.598623902142048,2.314429697038012,3.9477758466095794,1.877603651423208,21,False
leading_edge_axis,0.0,0.59,26.54975730104592,5.286062513,5.615912952367239,1.7305010301248887,5.642087885025857,2.378817674977183,3.9461897872371763,1.9151343014079858,21,False
leading_edge_axis,0.0,0.6,26.99969549089802,5.316050467,5.6424637948817224,1.7665702113122241,5.57901838866615,2.389958916827947,3.9282436081745375,1.9446090182522715,21,False
leading_edge_axis,0.0,0.61,27.449618886410406,5.324386058,5.668762318641166,1.8027168228955712,5.621240975053099,2.4546427716261423,3.926568480215466,1.9826198278957117,21,False
leading_edge_axis,0.0,0.62,27.899523766849494,5.298879062,5.694469096566769,1.8389957675232838,5.62501786323922,2.500154855487369,3.989998558438252,2.055533938919897,21,False
leading_edge_axis,0.0,0.63,28.34940551278268,5.216916311,5.71981914928731,1.8753176158818317,5.637002082990482,2.5503145062217736,4.043815518438341,2.124330907721955,21,False
leading_edge_axis,0.0,0.64,28.79925838217508,5.088202593,5.744812476802789,1.9116823679712147,5.721392840712561,2.640676391109389,4.02572786907225,2.155187823028937,21,False
leading_edge_axis,0.0,0.65,29.249075232253308,4.991037096,5.769034833718817,1.9480574886849447,5.723100523685908,2.6868325555622423,4.0067534909660605,2.1857961641352093,21,False
leading_edge_axis,0.0,0.66,29.69884717379708,4.919419365,5.792842440394522,1.984399016630175,5.761923428822369,2.754340634096674,4.014342007723502,2.231324320525591,21,False
leading_edge_axis,0.0,0.67,30.148563141333184,4.86815045,5.81604446006963,2.020683404558534,5.864386166050274,2.859869276605848,4.024369174568006,2.278920441915506,21,False
leading_edge_axis,0.0,0.68,30.598209358770635,4.83416797,5.838297183147628,2.0567780681156775,5.877836835309326,2.9152585453865547,4.0544904942533675,2.3388537012001156,21,False
leading_edge_axis,0.0,0.69,31.04776867516916,4.815120497,5.859970422683668,2.092720940964933,5.961409904782114,3.0133379627469563,4.061213115679012,2.385641320095184,21,False
leading_edge_axis,0.0,0.7,31.497219739385137,4.809511022,5.880562416930299,2.128339789332134,5.897588892109378,3.023241207620652,4.027188734162573,2.4081227113053236,21,False
