benchmark,case_id,model,phase,baseline_CL,baseline_CD,equilibrium_CL,equilibrium_CD,raw_ldvm_CL,raw_ldvm_CD,state_CL,state_CD,transient_CL,transient_CD,prediction_CL,prediction_CD,ledger_residual_CL,ledger_residual_CD,incidence_source,aggregation_scope,equilibrium_provider
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3203125,0.3336820913863786,-0.01952875376356745,-0.05148078250407789,-0.014261779858079648,0.09657332346092055,-0.0027855424712820206,0.08168212885041723,0.009675029043168968,0.016996060994220213,-0.014221869972277104,0.2991973698765209,-0.048012403593924204,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.328125,0.36430520863364624,-0.024918960286439903,-0.05658078450590087,-0.013377564829917178,0.07086603490521032,-0.0016863635288168655,0.08034261656247405,0.008267984592980416,-0.010816093945206912,-0.011361392571985833,0.2969083301825385,-0.04965791768834291,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3359375,0.3947164915395594,-0.030630443650662493,-0.061644596413754416,-0.012440647217889535,0.049796247658948495,0.0003255055439107805,0.07655962089827217,0.007284353317507381,-0.03054636890352555,-0.007942479049069634,0.30252552622227946,-0.05101356991762166,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.34375,0.4249367914415354,-0.03660255427198579,-0.06671000604314631,-0.011217637033427423,0.21268719609431602,0.002572508632126238,0.09341825402652962,0.00670081790380614,0.13612757519604385,-0.004711844685381143,0.49435436059443294,-0.052532035990794354,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3515625,0.45497216305661486,-0.04279862481239019,-0.07184988077094101,-0.009245027454228005,-0.13585052771935294,0.00531826441497374,0.06502460730469561,0.006529596444709032,-0.22926878174588255,-0.0013825534888323998,0.1538535005397913,-0.053426205755450595,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.359375,0.4848055359687898,-0.04920079224177585,-0.07723116914586353,-0.005441635451339216,-0.15577435186441782,0.011559689994925694,0.03767990038273349,0.007152545187032485,-0.22079895916911343,0.0050300935502166615,0.1867754076538128,-0.0496123341428984,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3671875,0.5143986702279905,-0.05578595369250117,-0.08301270587135628,0.0009816124643265006,-0.2509757508826424,0.01338963160047545,0.0019315245075814808,0.007924973194231204,-0.2886556512653759,0.006237086413442965,0.14273031309125828,-0.0485672548147317,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.375,0.5437883890077273,-0.06248500681967682,-0.08907181970779188,0.009058312403760975,-0.593043502928138,0.016340462951806734,-0.07175278003959311,0.008967184180603768,-0.5949750274357195,0.00841548975757553,-0.14025845813578408,-0.04501120465834032,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3828125,0.5729581484621372,-0.0692815112454622,-0.09532870865080656,0.018251018008771352,-0.11245354353880702,0.02043487601582411,-0.07679334025588322,0.010387393195562492,-0.04070076349921391,0.011467691835220343,0.43692867631211674,-0.039562801401470504,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.390625,0.6018886404834968,-0.07616047168031545,-0.10169243841043685,0.02798534464741627,-0.9537950513710376,0.02470669720670033,-0.18540506039599258,0.01216075831007438,-0.8770017111151543,0.014319304011137839,-0.3768055090420944,-0.03385582302176134,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
