model,theta_max_deg,phase_offset_deg,phase,CT,persistence,ldvm_delta_CT,owned_old_CT,owned_polar_CT,target_old_CT,target_polar_CT,profile_reference_delta_CT,polar_reference_delta_CT
v5c0_corrected_v4b_075c,15.0,15.0,0.15625,0.29828796948605,0.017846423766232012,-0.29450389639882635,0.5946729028904639,-0.5004703282457362,0.5996663594870925,-0.08004040401071932,0.004993456596628532,0.4154364676383884
v4b_legacy_025c,15.0,15.0,0.1640625,0.325920396445263,0.017616746135180116,-0.30910062607866123,0.6494397106038922,-0.47812579936012073,0.6544108545018698,-0.045015837768073656,0.004971143897977592,0.4281388176940695
v5c0_corrected_v4b_075c,15.0,15.0,0.1640625,0.33843395320517317,0.017616746135180116,-0.30910062607866123,0.6494397106038922,-0.47812579936012073,0.6544108545018698,-0.045015837768073656,0.004971143897977592,0.4281388176940695
v4b_legacy_025c,15.0,15.0,0.171875,0.36579125243990823,0.017343589095251705,-0.3203082491944015,0.7005326480799005,-0.45196473834113404,0.7054543295413523,-0.00904408313629933,0.004921681461451888,0.4379989737433828
v5c0_corrected_v4b_075c,15.0,15.0,0.171875,0.37830940812610725,0.017343589095251705,-0.3203082491944015,0.7005326480799005,-0.45196473834113404,0.7054543295413523,-0.00904408313629933,0.004921681461451888,0.4379989737433828
v4b_legacy_025c,15.0,15.0,0.1796875,0.40499186444474733,0.017027793395958887,-0.3280736347589007,0.747394406844035,-0.4221803729656168,0.7522403891799926,0.02753852345274628,0.004845982335957566,0.4448729140824055
v5c0_corrected_v4b_075c,15.0,15.0,0.1796875,0.4174130508491582,0.017027793395958887,-0.3280736347589007,0.747394406844035,-0.4221803729656168,0.7522403891799926,0.02753852345274628,0.004845982335957566,0.4448729140824055
v4b_legacy_025c,15.0,15.0,0.1875,0.439687799588517,0.01667029806476751,-0.3357667486219541,0.7895043008039128,-0.38906397055359754,0.7942495247594686,0.0643502370775541,0.004745223955555877,0.44866898367559577
v5c0_corrected_v4b_075c,15.0,15.0,0.1875,0.4519124692343614,0.01667029806476751,-0.3357667486219541,0.7895043008039128,-0.38906397055359754,0.7942495247594686,0.0643502370775541,0.004745223955555877,0.44866898367559577
v4b_legacy_025c,15.0,15.0,0.1953125,0.4709388220121841,0.016272134874075198,-0.34181828152664906,0.826386112634359,-0.3529995318103317,0.8310069368152511,0.10096997117833183,0.004620824180892047,0.4493486788077715
v5c0_corrected_v4b_075c,15.0,15.0,0.1953125,0.4828715085001237,0.016272134874075198,-0.34181828152664906,0.826386112634359,-0.3529995318103317,0.8310069368152511,0.10096997117833183,0.004620824180892047,0.4493486788077715
v4b_legacy_025c,15.0,15.0,0.203125,0.499683033184375,0.015834422820533045,-0.34483365571330254,0.8576155167488267,-0.3144556075865342,0.8620899317297036,0.13694507411438264,0.004474414980876862,0.44692626672004
v5c0_corrected_v4b_075c,15.0,15.0,0.203125,0.5112342676420993,0.015834422820533045,-0.34483365571330254,0.8576155167488267,-0.3144556075865342,0.8620899317297036,0.13694507411438264,0.004474414980876862,0.44692626672004
v4b_legacy_025c,15.0,15.0,0.2109375,0.5254312014691175,0.0153583626663965,-0.3449266536219301,0.8828269232787694,-0.27397456743133985,0.8871347374973692,0.1718005507106561,0.004307814218599715,0.4414673039233963
v5c0_corrected_v4b_075c,15.0,15.0,0.2109375,0.5365192306467291,0.0153583626663965,-0.3449266536219301,0.8828269232787694,-0.27397456743133985,0.8871347374973692,0.1718005507106561,0.004307814218599715,0.4414673039233963
v4b_legacy_025c,15.0,15.0,0.21875,0.5469071179363842,0.01484523158632289,-0.3430727872353732,0.901719611137986,-0.23215969857996227,0.9058426071930903,0.20504943149817015,0.004122996055104244,0.4330861340230282
v5c0_corrected_v4b_075c,15.0,15.0,0.21875,0.5574593779478858,0.01484523158632289,-0.3430727872353732,0.901719611137986,-0.23215969857996227,0.9058426071930903,0.20504943149817015,0.004122996055104244,0.4330861340230282
v4b_legacy_025c,15.0,15.0,0.2265625,0.5648483711732848,0.01429637795715262,-0.3382713449682962,0.9140629106139401,-0.18966067023932315,0.9179849711409864,0.23620385134067537,0.003922060527046356,0.4219424610529522
v5c0_corrected_v4b_075c,15.0,15.0,0.2265625,0.5748026805997154,0.01429637795715262,-0.3382713449682962,0.9140629106139401,-0.18966067023932315,0.9179849711409864,0.23620385134067537,0.003922060527046356,0.4219424610529522
v4b_legacy_025c,15.0,15.0,0.234375,0.578172171738746,0.0137132163227184,-0.3314432609352375,0.9197003361782611,-0.14715781700002534,0.9234075390637766,0.2647864931453075,0.003707202885515515,0.4082371072598173
v5c0_corrected_v4b_075c,15.0,15.0,0.234375,0.5874776183870761,0.0137132163227184,-0.3314432609352375,0.9197003361782611,-0.14715781700002534,0.9234075390637766,0.2647864931453075,0.003707202885515515,0.4082371072598173
v4b_legacy_025c,15.0,15.0,0.2421875,0.5879458450777499,0.013097222560597158,-0.3214060029943556,0.9185525459932596,-0.1053457509653334,0.9220332292938049,0.2903420070372323,0.0034806833005452953,0.3922070747020204
v5c0_corrected_v4b_075c,15.0,15.0,0.2421875,0.5965633517255083,0.013097222560597158,-0.3214060029943556,0.9185525459932596,-0.1053457509653334,0.9220332292938049,0.2903420070372323,0.0034806833005452953,0.3922070747020204
v4b_legacy_025c,15.0,15.0,0.25,0.5898458748780256,0.012449929272911123,-0.31251864000867013,0.9106190321339621,-0.06491680791830319,0.913863829670798,0.3124480273189704,0.0032447975368359305,0.37412003770043767
v5c0_corrected_v4b_075c,15.0,15.0,0.25,0.5977484404238109,0.012449929272911123,-0.31251864000867013,0.9106190321339621,-0.06491680791830319,0.913863829670798,0.3124480273189704,0.0032447975368359305,0.37412003770043767
v4b_legacy_025c,15.0,15.0,0.2578125,0.5881449625985922,0.011772921418743436,-0.30051064988359494,0.8959785184350003,-0.026544773200759493,0.8989803676246042,0.330725473928009,0.003001849189603889,0.3542683979391646
v5c0_corrected_v4b_075c,15.0,15.0,0.2578125,0.5953175857982779,0.011772921418743436,-0.30051064988359494,0.8959785184350003,-0.026544773200759493,0.8989803676246042,0.330725473928009,0.003001849189603889,0.3542683979391646
v4b_legacy_025c,15.0,15.0,0.265625,0.5844516063504872,0.011067832201397797,-0.2838975796647877,0.8747880057615721,0.009130635278485021,0.877542129796197,0.34484779516516706,0.0027541240346248275,0.3329630358520572
v5c0_corrected_v4b_075c,15.0,15.0,0.265625,0.5908909093951905,0.011067832201397797,-0.2838975796647877,0.8747880057615721,0.009130635278485021,0.877542129796197,0.34484779516516706,0.0027541240346248275,0.3329630358520572
v4b_legacy_025c,15.0,15.0,0.2734375,0.5704589655492257,0.010336339219533624,-0.27129717955511057,0.8472805584154329,0.04151820760737291,0.8497844254088232,0.35454896558681703,0.0025038669933902247,0.3105268909860539
v5c0_corrected_v4b_075c,15.0,15.0,0.2734375,0.576172543824635,0.010336339219533624,-0.27129717955511057,0.8472805584154329,0.04151820760737291,0.8497844254088232,0.35454896558681703,0.0025038669933902247,0.3105268909860539
v4b_legacy_025c,15.0,15.0,0.28125,0.555363485401431,0.009580160887078693,-0.2537043606343981,0.8137618302584594,0.07008822192997707,0.8160150924018862,0.3596299846875649,0.002253262143426804,0.287288500614161
v5c0_corrected_v4b_075c,15.0,15.0,0.28125,0.5603690176017491,0.009580160887078693,-0.2537043606343981,0.8137618302584594,0.07008822192997707,0.8160150924018862,0.3596299846875649,0.002253262143426804,0.287288500614161
v4b_legacy_025c,15.0,15.0,0.2890625,0.5369780983501732,0.008801053122690106,-0.2336974599483791,0.7746054420641353,0.09438371839424928,0.7766098581802927,0.35996375496267197,0.002004416116157426,0.26357562045226524
v5c0_corrected_v4b_075c,15.0,15.0,0.2890625,0.541302257503777,0.008801053122690106,-0.2336974599483791,0.7746054420641353,0.09438371839424928,0.7766098581802927,0.35996375496267197,0.002004416116157426,0.26357562045226524
v4b_legacy_025c,15.0,15.0,0.296875,0.514708740719205,0.008000806305334143,-0.21230698642626364,0.7302473366781312,0.1140298680660958,0.7320066817996707,0.35549825771707805,0.001759345121539413,0.23970904452944283
v5c0_corrected_v4b_075c,15.0,15.0,0.296875,0.5183859514756614,0.008000806305334143,-0.21230698642626364,0.7302473366781312,0.1140298680660958,0.7320066817996707,0.35549825771707805,0.001759345121539413,0.23970904452944283
v4b_legacy_025c,15.0,15.0,0.3046875,0.4882047646518494,0.00718124248822151,-0.19037442010831043,0.6811792507981465,0.1287412961063488,0.6826992165197742,0.3462579956242735,0.001519965721627714,0.215996733796297
v5c0_corrected_v4b_075c,15.0,15.0,0.3046875,0.49127585529553225,0.00718124248822151,-0.19037442010831043,0.6811792507981465,0.1287412961063488,0.6826992165197742,0.3462579956242735,0.001519965721627714,0.215996733796297
v4b_legacy_025c,15.0,15.0,0.3125,0.45487560535515875,0.006344212858810296,-0.17104476677857297,0.627941444353542,0.13832725615278696,0.6292295336995729,0.3323437012138436,0.001288089346030863,0.19272835571502578
v5c0_corrected_v4b_075c,15.0,15.0,0.3125,0.45738640441377426,0.006344212858810296,-0.17104476677857297,0.627941444353542,0.13832725615278696,0.6292295336995729,0.3323437012138436,0.001288089346030863,0.19272835571502578
v4b_legacy_025c,15.0,15.0,0.3203125,0.4181772642198701,0.005491595427827295,-0.1514164334038197,0.5711148904334951,0.14269465553021418,0.5721803108364413,0.3143025947153408,0.0010654204029462155,0.17054251878218038
v5c0_corrected_v4b_075c,15.0,15.0,0.3203125,0.42017923513921074,0.005491595427827295,-0.1514164334038197,0.5711148904334951,0.14269465553021418,0.5721803108364413,0.3143025947153408,0.0010654204029462155,0.17054251878218038
v4b_legacy_025c,15.0,15.0,0.328125,0.3780842018367458,0.0046252929252279485,-0.1321311154341342,0.5113130521173052,0.14184889331250253,0.5121666098097912,0.3228190229260908,0.0008535576924860733,0.18011657192110223
v5c0_corrected_v4b_075c,15.0,15.0,0.328125,0.37977085143505485,0.0046252929252279485,-0.1321311154341342,0.5113130521173052,0.14184889331250253,0.5121666098097912,0.3228190229260908,0.0008535576924860733,0.18011657192110223
v4b_legacy_025c,15.0,15.0,0.3359375,0.3368071032559534,0.00374723087570448,-0.11161068506766275,0.4491734930780889,0.13589262019990025,0.449827491755373,0.3464765024457739,0.0006539986772841067,0.20992988356858952
v5c0_corrected_v4b_075c,15.0,15.0,0.3359375,0.3382477576746788,0.00374723087570448,-0.11161068506766275,0.4491734930780889,0.13589262019990025,0.449827491755373,0.3464765024457739,0.0006539986772841067,0.20992988356858952
