Time,Z_tip
21.936,0.00522158116065222
21.9375,0.00521307369117589
21.939,0.00520083615291255
21.9405,0.00518550659398505
21.942,0.0051675983861866
21.9435,0.00514739852471386
21.945,0.00512522173526381
21.9465,0.0051014096985301
21.948,0.00507628735411418
21.9495,0.00505013822414299
21.951,0.0050232232295996
21.9525,0.00499582553837447
21.954,0.00496829569346693
21.9555,0.00494108386108648
21.957,0.00491475766152534
21.9585,0.00489000587511947
21.96,0.00486762523746866
21.9615,0.00484848775236327
21.963,0.00483349116929028
21.9645,0.00482350048736634
21.966,0.00481928950346649
21.9675,0.00482148900279906
21.969,0.00483054484172618
21.9705,0.00484668704685014
21.972,0.00486991044204294
21.9735,0.00489996748274834
21.975,0.00493637379769417
21.9765,0.00497842603337141
21.978,0.00502523026040214
21.9795,0.005075738218193
21.981,0.00512878842596836
21.9825,0.00518314959103353
21.984,0.00523756430900138
21.9855,0.00529079145060139
21.987,0.00534164578870649
21.9885,0.00538903353592959
21.99,0.00543198269059515
21.9915,0.00546966747730686
21.993,0.00550142657978923
21.9945,0.00552677516278718
21.996,0.00554541076990434
21.9975,0.00555721309945175
21.999,0.00556223751080073
22.0005,0.00556070205843943
22.002,0.00555296802082203
22.0035,0.00553951434218628
22.005,0.00552090706897489
22.0065,0.00549776557619256
22.008,0.00547084644528192
22.0095,0.00544079941388069
22.011,0.00540803962840144
22.0125,0.00537298474029604
22.014,0.00533606066159835
22.0155,0.00529765898611044
22.017,0.00525808470096344
22.0185,0.0052175266843456
22.02,0.00517606424266711
22.0215,0.00513369990367066
22.023,0.00509039436533654
22.0245,0.00504608721173758
22.026,0.00500070357088639
22.0275,0.0049541560092728
22.029,0.00490634996386629
22.0305,0.0048571947618389
22.032,0.00480661597341385
22.0335,0.00475456224123467
22.035,0.00470100259725951
22.0365,0.00464591625349353
22.038,0.00458928135771524
22.0395,0.00453106880548816
22.041,0.00447124284207728
22.0425,0.00440976559852882
22.044,0.00434660153146036
22.0455,0.00428172032954075
22.047,0.00421510075084451
22.0485,0.00414673956937764
22.05,0.00407666784729291
22.0515,0.0040049721989982
22.053,0.00393181458373687
22.0545,0.00385744294422607
22.056,0.00378218743510449
22.0575,0.00370644162623334
22.059,0.00363063273946065
22.0605,0.00355518779543436
22.062,0.00348050289895996
22.0635,0.00340692107911063
22.065,0.00333472098133856
22.0665,0.00326411503952197
22.068,0.00319525223217092
22.0695,0.00312821768497738
22.071,0.00306301985630519
22.0725,0.00299955641971725
22.074,0.00293755277837457
22.0755,0.00287659393813308
22.077,0.00281582496090813
22.0785,0.00275371125682385
22.08,0.00268814388164955
22.0815,0.00261640375994781
