series,model_label,data_role,theta_max_deg,phase_offset_deg,observation_id,replicate,CT,CT_error_minus,CT_error_plus,mean_thrust_n,mean_drag_n,profile_drag_coefficient
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,25.0,60.0,,1,-0.10514466030135917,,,-15.125015295865422,15.125015295865422,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,25.0,60.0,,1,0.10177943115004079,,,14.640928493531392,-14.640928493531392,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,25.0,75.0,,1,0.07958366197720826,,,11.448076404986,-11.448076404986,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,25.0,75.0,,1,-0.006743180591028429,,,-0.9700037005185838,0.9700037005185838,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,25.0,75.0,,1,-0.006743180591028429,,,-0.9700037005185838,0.9700037005185838,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,25.0,75.0,,1,0.0788421815284886,,,11.341414753349802,-11.341414753349802,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,25.0,90.0,,1,0.06908804703750882,,,9.938286596854246,-9.938286596854246,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,25.0,90.0,,1,0.06892285459128097,,,9.91452373273165,-9.91452373273165,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,25.0,90.0,,1,0.06892285459128097,,,9.91452373273165,-9.91452373273165,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,25.0,90.0,,1,0.06042423047281193,,,8.692000216870396,-8.692000216870396,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,25.0,105.0,,1,0.0658269238104921,,,9.469175388078082,-9.469175388078082,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,25.0,105.0,,1,0.0658269238104921,,,9.469175388078082,-9.469175388078082,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,25.0,105.0,,1,0.0658269238104921,,,9.469175388078082,-9.469175388078082,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,25.0,105.0,,1,0.04777564297481443,,,6.872506208996072,-6.872506208996072,0.057
