steps_per_cycle,delta_time_s,core_ratio,step,phase_t_over_T,active_strip_count,material_ring_count,max_abs_q_m2_s,q_l2_m2_s,max_abs_q_over_Uc,augmented_condition_number,no_penetration_max_abs,lesp_constraint_max_abs,eq9_max_abs_m2_s,material_geometry_finite,force_scoring_status,canonical_eligible
80,0.005,0.1,3,0.0375,0,5,0.0,0.0,0.0,2.0762367274633555,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,4,0.05,1,6,0.0029737105974334877,0.0029737105974334877,0.004159035800606276,71.23266458450111,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,5,0.0625,0,6,0.0,0.0,0.0,2.0761079141809664,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,6,0.075,0,6,0.0,0.0,0.0,2.0760102928366715,8.881784197001252e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,7,0.0875,0,6,0.0,0.0,0.0,2.0758881999272565,6.661338147750939e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,8,0.1,0,6,0.0,0.0,0.0,2.0757394808346583,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,9,0.1125,0,6,0.0,0.0,0.0,2.07556166700944,6.661338147750939e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,10,0.125,0,6,0.0,0.0,0.0,2.0753520124241676,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,11,0.1375,0,6,0.0,0.0,0.0,2.0751075693938126,1.1102230246251565e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,12,0.15,0,6,0.0,0.0,0.0,2.0748253257661964,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,13,0.1625,0,6,0.0,0.0,0.0,2.0745024302640225,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,14,0.175,0,6,0.0,0.0,0.0,2.07413653022172,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,15,0.1875,0,6,0.0,0.0,0.0,2.073726227289837,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,16,0.2,0,6,0.0,0.0,0.0,2.0732716145080254,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,17,0.2125,0,6,0.0,0.0,0.0,2.0727747963556444,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,18,0.225,1,7,0.013105469517338167,0.013105469517338167,0.018329327996277154,71.62739623537914,2.220446049250313e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,19,0.2375,3,10,0.03602934146705651,0.04741525621095974,0.050390687366512595,84.53357620033083,8.881784197001252e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,20,0.25,4,14,0.0720522730024068,0.09645272774305402,0.10077240979357593,85.50651845376223,4.440892098500626e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,21,0.2625,4,18,0.14821533243968346,0.20053733538104448,0.20729417124431251,85.68562663659446,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,22,0.275,4,22,0.3554821266011311,0.4546189704111696,0.49717779944214135,82.35573240171016,8.881784197001252e-16,8.326672684688674e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,23,0.2875,4,26,0.46871880228409557,0.5900535081967128,0.6555507724253085,83.83247835797592,1.3322676295501878e-15,6.938893903907228e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,24,0.3,4,30,2.9225896634509247,3.17718719603929,4.087537990840453,83.74478569754523,1.2878587085651816e-14,2.498001805406602e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,25,0.3125,4,34,0.6172471249003023,1.1010563718100146,0.8632826921682549,95.33120440895914,1.7763568394002505e-15,9.71445146547012e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,26,0.325,4,38,1.0064129826945138,1.1240033221860801,1.4075706051671522,85.60938829231978,1.7763568394002505e-15,1.1102230246251565e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,27,0.3375,4,42,2.5806026246711453,3.0716389123156325,3.6092344400995033,95.11050256345895,7.993605777301127e-15,1.6653345369377348e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,28,0.35,2,44,0.24757545009526227,0.3465811915231542,0.34625937076260455,74.08791874326377,1.7763568394002505e-15,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,29,0.3625,3,47,0.4390939448778627,0.6981046976477973,0.6141174054235841,85.60573944793934,3.552713678800501e-15,8.326672684688674e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,30,0.375,4,51,0.4139479416948384,0.7241591718428191,0.5789481702025712,86.10594340212035,3.552713678800501e-15,9.71445146547012e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,31,0.3875,4,55,0.45802645279641957,0.7986430243652036,0.6405964374775098,92.56376129387343,3.552713678800501e-15,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,32,0.4,4,59,0.5721372583131911,0.9748904610227114,0.8001919696687986,88.28119691067408,3.552713678800501e-15,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,33,0.4125,4,63,0.6725409038375071,1.0302465351755117,0.940616648723786,86.75874862404541,2.6645352591003757e-15,1.249000902703301e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,34,0.425,4,67,0.6221878171297572,1.1384565924553198,0.8701927512304296,84.99513729998449,3.552713678800501e-15,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,35,0.4375,4,71,0.7307307190928046,1.155251018693411,1.0220010057242022,87.73395092495612,1.7763568394002505e-15,1.942890293094024e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,36,0.45,4,75,0.769481131553545,1.2060104414647674,1.0761973867881747,87.34348127129859,1.7763568394002505e-15,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,37,0.4625,4,79,1.0060547493501266,1.6992287163744415,1.4070695795106665,100.5920915048412,1.7763568394002505e-15,8.326672684688674e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,38,0.475,4,83,1.4260528964511707,2.4020193060152835,1.9944795754561826,85.4937313663061,3.552713678800501e-15,2.3592239273284576e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,39,0.4875,4,87,1.6709414315264284,2.174460914182829,2.3369810231138857,87.14467239699309,3.552713678800501e-15,1.5265566588595902e-16,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,0,0.0,4,4,0.041625737414392544,0.061716923416499446,0.05821781456558397,87.98412739420374,8.881784197001252e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,1,0.0125,0,4,0.0,0.0,0.0,2.0762853912477652,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,2,0.025,0,4,0.0,0.0,0.0,2.0762706032666944,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,3,0.0375,0,4,0.0,0.0,0.0,2.0762367274633555,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,4,0.05,0,4,0.0,0.0,0.0,2.076182891854055,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,5,0.0625,0,4,0.0,0.0,0.0,2.0761079141809664,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,6,0.075,0,4,0.0,0.0,0.0,2.0760102928366715,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,7,0.0875,0,4,0.0,0.0,0.0,2.0758881999272565,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,8,0.1,0,4,0.0,0.0,0.0,2.0757394808346583,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,9,0.1125,0,4,0.0,0.0,0.0,2.07556166700944,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,10,0.125,0,4,0.0,0.0,0.0,2.0753520124241676,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,11,0.1375,0,4,0.0,0.0,0.0,2.0751075693938126,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,12,0.15,0,4,0.0,0.0,0.0,2.0748253257661964,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,13,0.1625,0,4,0.0,0.0,0.0,2.0745024302640225,1.6653345369377348e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.25,14,0.175,0,4,0.0,0.0,0.0,2.07413653022172,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
