figure,series,wing_type,marker,U_m_s,Re,alpha_deg,Cn,digitization_uncertainty,evidence_role
9,flexible_U7p5,flexible_membrane,square,7.5,36500,14,0.9385,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,14,0.8031,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,14,0.7046,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,14,0.6846,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,14,0.6615,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,15,1.2369,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,15,1.0031,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,15,0.8677,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,15,0.7415,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,15,0.7308,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,15,0.7,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,16,1.2662,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,16,1.0738,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,16,0.92,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,16,0.7846,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,16,0.7692,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,16,0.7431,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,17,1.2662,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,17,1.1246,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,17,0.9662,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,17,0.8062,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,17,0.8,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,17,0.7615,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,18,1.2338,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,18,1.1662,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,18,1.0138,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,18,0.8338,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,18,0.8154,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,18,0.7908,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,19,1.22,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,19,1.1754,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,19,1.0538,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,19,0.84,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,19,0.8308,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,19,0.8,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,20,1.2031,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,20,1.1677,0.012,digitized_approx
