figure,AR,alpha_deg,Re,fc_over_U,PSD,digitization_uncertainty,evidence_role
12,2,15,48700,1.46,0.002649,0.00035,digitized_trace_approx
12,2,15,48700,1.47,0.002523,0.00035,digitized_trace_approx
12,2,15,48700,1.48,0.002812,0.00035,digitized_trace_approx
12,2,15,48700,1.49,0.00292,0.00035,digitized_trace_approx
12,2,15,48700,1.5,0.002812,0.00035,digitized_trace_approx
12,2,15,48700,1.51,0.002703,0.00035,digitized_trace_approx
12,2,15,48700,1.52,0.002163,0.00035,digitized_trace_approx
12,2,15,48700,1.53,0.002127,0.00035,digitized_trace_approx
12,2,15,48700,1.54,0.001856,0.00035,digitized_trace_approx
12,2,15,48700,1.55,0.00173,0.00035,digitized_trace_approx
12,2,15,48700,1.56,0.00173,0.00035,digitized_trace_approx
12,2,15,48700,1.57,0.00164,0.00035,digitized_trace_approx
12,2,15,48700,1.58,0.001874,0.00035,digitized_trace_approx
12,2,15,48700,1.59,0.002127,0.00035,digitized_trace_approx
12,2,15,48700,1.6,0.002127,0.00035,digitized_trace_approx
12,2,15,48700,1.61,0.001874,0.00035,digitized_trace_approx
12,2,15,48700,1.62,0.001982,0.00035,digitized_trace_approx
12,2,15,48700,1.63,0.001982,0.00035,digitized_trace_approx
12,2,15,48700,1.64,0.001874,0.00035,digitized_trace_approx
12,2,15,48700,1.65,0.001802,0.00035,digitized_trace_approx
12,2,15,48700,1.66,0.00173,0.00035,digitized_trace_approx
12,2,15,48700,1.67,0.001658,0.00035,digitized_trace_approx
12,2,15,48700,1.68,0.001694,0.00035,digitized_trace_approx
12,2,15,48700,1.69,0.001712,0.00035,digitized_trace_approx
12,2,15,48700,1.7,0.001838,0.00035,digitized_trace_approx
12,2,15,48700,1.71,0.001838,0.00035,digitized_trace_approx
12,2,15,48700,1.72,0.001766,0.00035,digitized_trace_approx
12,2,15,48700,1.73,0.001766,0.00035,digitized_trace_approx
12,2,15,48700,1.74,0.00173,0.00035,digitized_trace_approx
12,2,15,48700,1.75,0.001694,0.00035,digitized_trace_approx
12,2,15,48700,1.76,0.001658,0.00035,digitized_trace_approx
12,2,15,48700,1.77,0.001622,0.00035,digitized_trace_approx
12,2,15,48700,1.78,0.001442,0.00035,digitized_trace_approx
12,2,15,48700,1.79,0.001478,0.00035,digitized_trace_approx
12,2,15,48700,1.8,0.001514,0.00035,digitized_trace_approx
12,2,15,48700,1.81,0.001604,0.00035,digitized_trace_approx
12,2,15,48700,1.82,0.001622,0.00035,digitized_trace_approx
12,2,15,48700,1.83,0.00155,0.00035,digitized_trace_approx
12,2,15,48700,1.84,0.001442,0.00035,digitized_trace_approx
12,2,15,48700,1.85,0.001514,0.00035,digitized_trace_approx
12,2,15,48700,1.86,0.001658,0.00035,digitized_trace_approx
12,2,15,48700,1.87,0.001694,0.00035,digitized_trace_approx
12,2,15,48700,1.88,0.001586,0.00035,digitized_trace_approx
12,2,15,48700,1.89,0.001478,0.00035,digitized_trace_approx
12,2,15,48700,1.9,0.001478,0.00035,digitized_trace_approx
12,2,15,48700,1.91,0.001406,0.00035,digitized_trace_approx
12,2,15,48700,1.92,0.001316,0.00035,digitized_trace_approx
12,2,15,48700,1.93,0.00128,0.00035,digitized_trace_approx
12,2,15,48700,1.94,0.001298,0.00035,digitized_trace_approx
12,2,15,48700,1.95,0.00137,0.00035,digitized_trace_approx
12,2,15,48700,1.96,0.001334,0.00035,digitized_trace_approx
