figure,case_id,quantity,point_index,phase,coefficient,x_pdf,y_pdf,is_plot_boundary_intersection
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,18,0.29686447857797205,0.032436626642069796,375.38604736328125,375.01776123046875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,19,0.3133574443062942,0.02754939221367278,378.09912109375,378.9888610839844,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,20,0.3298505955531168,0.022074412681952163,380.8122253417969,383.4375305175781,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,21,0.34634374679993946,0.016072306654918933,383.52532958984375,388.31451416015625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,22,0.36283448630625603,0.009627504511017182,386.238037109375,393.55120849609375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,23,0.37932763755307863,0.00284828595712161,388.9511413574219,399.05963134765625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,24,0.3958207887999013,-0.0041371260032054685,391.66424560546875,404.735595703125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,25,0.41231375452822344,-0.01118086553369431,394.3773193359375,410.4589538574219,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,26,0.42880467955304047,-0.018121996614935278,397.0900573730469,416.09893798828125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,27,0.4452978307998631,-0.024789292336195902,399.80316162109375,421.51641845703125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,28,0.4617907965281853,-0.03100923474889447,402.5162353515625,426.5704040527344,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,29,0.4782839477750079,-0.03661063450029605,405.2293395996094,431.1217956542969,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,30,0.49477468728132445,-0.04143116592508244,407.9420471191406,435.0386962890625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,31,0.5112678385281471,-0.04532713212470956,410.6551513671875,438.204345703125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,32,0.5277609897749698,-0.04817586867924931,413.3682556152344,440.5190734863281,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,33,0.5442541410217924,-0.049884081522840885,416.08135986328125,441.9070739746094,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,34,0.5607448805281089,-0.050391602743443606,418.7940673828125,442.3194580078125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,35,0.577237846256431,-0.04967465812862193,421.50714111328125,441.7369079589844,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,36,0.5937311830217542,-0.047747632391429276,424.22027587890625,440.1711120605469,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,37,0.6102219225280707,-0.04466333207639073,426.9329833984375,437.66497802734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,38,0.6267148882563929,-0.040510318941678496,429.64605712890625,434.29046630859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,39,0.6432080395032156,-0.035408966369371464,432.3591613769531,430.1453857421875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,40,0.6597011907500382,-0.029508567399645434,435.072265625,425.3510437011719,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,41,0.6761919302563547,-0.022977945231391052,437.78497314453125,420.04461669921875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,42,0.6926850815031774,-0.01600045800854248,440.4980773925781,414.3750915527344,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,43,0.70917823275,-0.008765961408606346,443.211181640625,408.4967346191406,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,44,0.7256711984783222,-0.0014605177513388606,445.92425537109375,402.56072998046875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,45,0.7421621235031393,0.0057366837570514695,448.6369934082031,396.7126770019531,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,46,0.7586552747499619,0.01266425640118464,451.35009765625,391.0837097167969,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,47,0.775148240478284,0.019181357690328762,454.06317138671875,385.78826904296875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,48,0.7916415772436071,0.025174111775977392,456.77630615234375,380.91888427734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,49,0.8081323167499237,0.03055628549580508,459.489013671875,376.5456237792969,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,50,0.8246252824782458,0.035272293013469624,462.20208740234375,372.7136535644531,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,51,0.8411184337250684,0.03929561838271592,464.9151916503906,369.44451904296875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,52,0.857611584971891,0.04262810194542285,467.6282958984375,366.7367248535156,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,53,0.8741023244782077,0.04529633476384058,470.34100341796875,364.56866455078125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,54,0.8905954757250303,0.04734835351680812,473.0541076660156,362.90130615234375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,55,0.9070886269718529,0.048847593662151065,475.7672119140625,361.68310546875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,56,0.923581592700175,0.04987149979077325,478.48028564453125,360.85113525390625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,57,0.9400725177249921,0.05050262438124227,481.1930236816406,360.33831787109375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,58,0.9565656689718147,0.050826825015908364,483.9061279296875,360.07489013671875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,59,0.9730586347001369,0.05092665417333912,486.61920166015625,359.9937744140625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,60,0.9895517859469595,0.050879068190470514,489.3323059082031,360.0324401855469,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,61,1.0,0.05079835605378173,491.0675048828125,360.0980224609375,1
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,0,2.4340033400984433e-10,-0.014209460739659674,111.80519104003906,217.100830078125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,1,0.016796800427492643,-0.05321095152651745,114.56824493408203,219.9177703857422,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,2,0.03359471372268924,-0.09432760839642573,117.33148193359375,222.88748168945312,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,3,0.0503915602864109,-0.13582179241279924,120.09454345703125,225.88446044921875,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,4,0.06718673718347612,-0.17590452770755272,122.85733032226562,228.7794952392578,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,5,0.08398395478423254,-0.2127703598913785,125.62045288085938,231.4421844482422,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,6,0.10078117238498896,-0.24471355075467305,128.38357543945312,233.74932861328125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,7,0.11757848274500406,-0.27018131656687117,131.14671325683594,235.58877563476562,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,8,0.1343757003457605,-0.28784544626483477,133.9098358154297,236.86459350585938,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,9,0.1511730107057756,-0.29665638480455714,136.6729736328125,237.5009765625,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,10,0.167970228306532,-0.2959112598769784,139.43609619140625,237.44715881347656,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,11,0.18476521968507983,-0.2852528255925221,142.1988525390625,236.67733764648438,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,12,0.20156243728583625,-0.26472354583279967,144.96197509765625,235.194580078125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,13,0.21835974764585137,-0.2347374962592952,147.72511291503906,233.02879333496094,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,14,0.23515696524660779,-0.19607698410388397,150.4882354736328,230.23648071289062,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,15,0.2519542756066229,-0.14988071743564735,153.25137329101562,226.89988708496094,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,16,0.2687514932073793,-0.09757598970814996,156.01449584960938,223.12210083007812,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,17,0.2855487108081357,-0.04083156808979105,158.77761840820312,219.02365112304688,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,18,0.30234592840889213,0.018505474200880556,161.54074096679688,214.73794555664062,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,19,0.31914091978743997,0.07849299555364886,164.30349731445312,210.40525817871094,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,20,0.3359381373881964,0.13714237647792715,167.06661987304688,206.16921997070312,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,21,0.35273544774821153,0.19255393924511088,169.8297576904297,202.1670379638672,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,22,0.3695327581082266,0.24292222946589237,172.5928955078125,198.52911376953125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,23,0.38632997570898303,0.286668055523132,175.35601806640625,195.3695068359375,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,24,0.40312719330973945,0.322457924776377,178.119140625,192.78453063964844,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,25,0.41992441091049587,0.3492847460632318,180.88226318359375,190.846923828125,0
10,fig10_pitch_leading_u6_f1p23_theta_m10_p2,CL,26,0.4367194022890437,0.36649212495500727,183.64501953125,189.60409545898438,0
