figure,case_id,quantity,sample_index,phase,coefficient,std,lower,upper,x_pdf,y_centre_pdf
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,51,0.8411185103105505,0.5088989920455764,0.36712299403408233,0.1417759980114941,0.8760219860796588,250.16819763183594,389.57594299316406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,52,0.85761157030206,0.5114617620069339,0.3177534757578286,0.19370828624910535,0.8292152377647626,252.88128662109375,389.2982940673828
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,53,0.8741024040713609,0.5137987614556485,0.2588938496135685,0.25490491184208003,0.7726926110692169,255.59400939941406,389.04510498046875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,54,0.8905956495813877,0.5156497134688471,0.1989814258510874,0.3166682876177597,0.7146311393199345,258.30712890625,388.8445739746094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,55,0.9070886168136384,0.5168723671308908,0.15117906196920752,0.3656933051616833,0.6680514291000983,261.02020263671875,388.7121124267578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,56,0.9235815840458892,0.5174478495480213,0.1327365828628093,0.38471126668521194,0.6501844324108306,263.7332763671875,388.64976501464844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,57,0.9400726960929661,0.5174636239069832,0.14660646966510557,0.3708571542418776,0.6640700935720888,266.446044921875,388.64805603027344
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,58,0.9565656633252169,0.5170770112699243,0.17331964235475333,0.343757368915171,0.6903966536246777,269.15911865234375,388.68994140625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,59,0.9730586305574676,0.5164980077905255,0.19610387292294393,0.3203941348675815,0.7126018807134694,271.8721923828125,388.75267028808594
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,60,0.9895519688267531,0.5159416799521344,0.20783098207124504,0.3081106978808893,0.7237726620233794,274.5853271484375,388.8129425048828
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,0,3.561954686997794e-10,0.05153259612646531,0.008700629370457715,0.042831966756007596,0.060233225496923025,326.55218505859375,359.5014190673828
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,1,0.016492595047516698,0.05118927847105721,0.008448277185063673,0.042741001285993535,0.05963755565612089,329.26519775390625,359.78038024902344
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,2,0.032983520072333745,0.05090145275699749,0.007843724877846056,0.043057727879151436,0.05874517763484355,331.9779357910156,360.0142517089844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,3,0.0494770423561573,0.050701118398180436,0.00700851012880711,0.04369260826937332,0.05770962852698755,334.69110107421875,360.1770324707031
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,4,0.06597019360297993,0.05059871651791896,0.006098198163709914,0.04450051835420905,0.05669691468162887,337.4042053222656,360.26023864746094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,5,0.08246315933130209,0.05058543976579265,0.005271828323088931,0.04531361144270372,0.05585726808888158,340.1172790527344,360.2710266113281
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,6,0.09895408435611913,0.05063325109664642,0.0046418680305432775,0.04599138306610314,0.055275119127189694,342.83001708984375,360.232177734375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,7,0.1154470500844413,0.050697137250442406,0.004216448592537875,0.04648068865790453,0.054913585842980284,345.5430908203125,360.1802673339844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,8,0.1319402013312639,0.050717906823075684,0.003898557701456589,0.04681934912161909,0.054616464524532275,348.2561950683594,360.16339111328125
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,9,0.14843335257808654,0.050626021182122186,0.00358740847093167,0.04703861271119052,0.054213429653053855,350.96929931640625,360.23805236816406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,10,0.16492409208440312,0.050343340913723875,0.0033145308398883,0.047028810073835574,0.053657871753612175,353.6820068359375,360.4677429199219
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,11,0.18141724333122575,0.04978917266019074,0.0033448401438938053,0.046444332516296934,0.05313401280408455,356.3951110839844,360.91802978515625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,12,0.19791039457804838,0.04888280428483406,0.004026348788047335,0.044856455496786726,0.052909153072881396,359.10821533203125,361.6544952392578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,13,0.21440336030637053,0.047546828754747514,0.00538192959284375,0.04216489916190376,0.05292875834759127,361.8212890625,362.7400360107422
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,14,0.23089428533118758,0.04571172621650589,0.007162460360676461,0.03854926585582943,0.052874186577182354,364.5340270996094,364.23114013671875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,15,0.2473874365780102,0.04331918787894615,0.009106706439735936,0.03421248143921021,0.05242589431868208,367.24713134765625,366.17518615722656
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,16,0.26388040230633236,0.04032420048203039,0.010997075571340767,0.029327124910689624,0.05132127605337116,369.960205078125,368.60874938964844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,17,0.28037355355315496,0.03669925279256897,0.01264932699861486,0.02404992579395411,0.04934857979118383,372.6733093261719,371.55418395996094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,18,0.29686447857797205,0.032436626642069796,0.01391208321251957,0.018524543429550226,0.046348709854589366,375.38604736328125,375.01776123046875
