figure,case_id,model,quantity,phase,experiment,experiment_std,prediction
10,razak2014_fig10,fluxv_old,CD,0.41992446549129164,-0.04022150692799805,0.00980711913706902,-0.06633128611741025
10,razak2014_fig10,fluxv_old,CD,0.4367194553383705,-0.04689660377000817,0.010870373418946528,-0.07436096973234706
10,razak2014_fig10,fluxv_old,CD,0.45351667140745494,-0.05294209199610216,0.0120175108854223,-0.08122965186520946
10,razak2014_fig10,fluxv_old,CD,0.47031388747653935,-0.05819902077646391,0.013155668496778985,-0.08661542617634212
10,razak2014_fig10,fluxv_old,CD,0.4871111035456238,-0.06252981675888009,0.014203222409825219,-0.09031193897700117
10,razak2014_fig10,fluxv_old,CD,0.5039083196147083,-0.06582282739891479,0.015092162340319628,-0.09215689310792939
10,razak2014_fig10,fluxv_old,CD,0.5207057212022932,-0.0679983513475193,0.015769323931010947,-0.09206501781463806
10,razak2014_fig10,fluxv_old,CD,0.5375029372713777,-0.06900836733006313,0.016195657546600885,-0.09003226913854129
10,razak2014_fig10,fluxv_old,CD,0.554297741599956,-0.0688400012084204,0.01634647474735215,-0.08613706476833456
10,razak2014_fig10,fluxv_old,CD,0.571095143187541,-0.06751471261806326,0.016210569199886473,-0.08050247102529029
10,razak2014_fig10,fluxv_old,CD,0.5878923592566253,-0.06508740766307301,0.01579061103495748,-0.0733887328300629
10,razak2014_fig10,fluxv_old,CD,0.6046895753257098,-0.06164431102732418,0.01510220203195323,-0.06510969215544465
10,razak2014_fig10,fluxv_old,CD,0.6214869769132947,-0.057299424970315836,0.014174853297541397,-0.056008565898737955
10,razak2014_fig10,fluxv_old,CD,0.6382841929823792,-0.052189846328619116,0.013048945424503619,-0.046461490907280946
10,razak2014_fig10,fluxv_old,CD,0.6550814090514636,-0.04647169970134478,0.011777314138613786,-0.03686037514351264
10,razak2014_fig10,fluxv_old,CD,0.671878625120548,-0.040312940420788854,0.010425069551325501,-0.027596121605142708
10,razak2014_fig10,fluxv_old,CD,0.6886736149676269,-0.033888071801433925,0.009070376659530822,-0.019076320453218575
10,razak2014_fig10,fluxv_old,CD,0.7054708310367114,-0.027371761473501247,0.007806714686967172,-0.01162141414299456
10,razak2014_fig10,fluxv_old,CD,0.7222680471057957,-0.02093299174265363,0.0067430413999560205,-0.005517748600981748
10,razak2014_fig10,fluxv_old,CD,0.7390652631748802,-0.01472852803938271,0.005990803948259905,-0.0009893154425818403
10,razak2014_fig10,fluxv_old,CD,0.7558624792439647,-0.008898548120359923,0.0056248810139972,0.0018097177416219194
10,razak2014_fig10,fluxv_old,CD,0.7726598808315496,-0.0035620247961795776,0.005630393807030054,0.002800401021845817
10,razak2014_fig10,fluxv_old,CD,0.789457096900634,0.0011877598883073548,0.005900997181282074,0.0019625404591446668
10,razak2014_fig10,fluxv_old,CD,0.8062519012292124,0.005283863701160935,0.006304466261834112,-0.0006397415309899344
