figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
10,razak2014_fig10,old,0.484375,0.4818290300632273,-0.0898766861441213,,,,
10,razak2014_fig10,old,0.4921875,0.4857713603267043,-0.09111948002972287,,,,
10,razak2014_fig10,old,0.5,0.48836804133456113,-0.09195095956194921,,,,
10,razak2014_fig10,old,0.5078125,0.48961162529111557,-0.09236260855347884,,,,
10,razak2014_fig10,old,0.515625,0.48950521543621706,-0.09234980806679109,,,,
10,razak2014_fig10,old,0.5234375,0.488062302774344,-0.09191189310228934,,,,
10,razak2014_fig10,old,0.53125,0.4853064157868926,-0.0910521703701025,,,,
10,razak2014_fig10,old,0.5390625,0.481270574014338,-0.08977789269454596,,,,
10,razak2014_fig10,old,0.546875,0.4759965810994882,-0.08810019298447329,,,,
10,razak2014_fig10,old,0.5546875,0.46953418268904884,-0.08603398348734158,,,,
10,razak2014_fig10,old,0.5625,0.4619400964102979,-0.08359781631055035,,,,
10,razak2014_fig10,old,0.5703125,0.4532769292385186,-0.08081370443149145,,,,
10,razak2014_fig10,old,0.578125,0.4436120316271602,-0.07770691065285229,,,,
10,razak2014_fig10,old,0.5859375,0.43301632192095085,-0.07430570333762972,,,,
10,razak2014_fig10,old,0.59375,0.4215630490342263,-0.07064107527497689,,,,
10,razak2014_fig10,old,0.6015625,0.4093265807604339,-0.0667464383376974,,,,
10,razak2014_fig10,old,0.609375,0.3963812208822774,-0.06265728850375561,,,,
10,razak2014_fig10,old,0.6171875,0.38280005513674026,-0.05841084873566877,,,,
10,razak2014_fig10,old,0.625,0.36865394236613463,-0.054045705011908154,,,,
10,razak2014_fig10,old,0.6328125,0.35401062817234785,-0.049601433961216586,,,,
10,razak2014_fig10,old,0.640625,0.3389339247931148,-0.04511821365118268,,,,
10,razak2014_fig10,old,0.6484375,0.32348297340275334,-0.040636414967083985,,,,
10,razak2014_fig10,old,0.65625,0.3077117206874368,-0.03619621103094606,,,,
10,razak2014_fig10,old,0.6640625,0.2916685915772005,-0.03183720093090547,,,,
10,razak2014_fig10,old,0.671875,0.2753962534886108,-0.02759801574972478,,,,
10,razak2014_fig10,old,0.6796875,0.2589315205196553,-0.02351594334644083,,,,
10,razak2014_fig10,old,0.6875,0.24230546778986295,-0.01962659328509879,,,,
10,razak2014_fig10,old,0.6953125,0.22554363100403269,-0.01596354652986108,,,,
10,razak2014_fig10,old,0.703125,0.20866633529177497,-0.012558043910325521,,,,
