case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
W1,fluxv_old,0.75,-0.35311699728274193,-0.14066741757636933,,,,
W1,fluxv_old,0.7578125,-0.3640670515537057,-0.1457231642062949,,,,
W1,fluxv_old,0.765625,-0.37192345187709336,-0.14925803826513864,,,,
W1,fluxv_old,0.7734375,-0.37671761856121,-0.15124214009933115,,,,
W1,fluxv_old,0.78125,-0.3784998088274631,-0.1516725937082329,,,,
W1,fluxv_old,0.7890625,-0.3773383605641579,-0.15057308633961736,,,,
W1,fluxv_old,0.796875,-0.3733156287897814,-0.1479917747754517,,,,
W1,fluxv_old,0.8046875,-0.36652546219454574,-0.14399925973008473,,,,
W1,fluxv_old,0.8125,-0.35707128981475933,-0.13868638102331834,,,,
W1,fluxv_old,0.8203125,-0.34506454078395565,-0.13216182113192793,,,,
W1,fluxv_old,0.828125,-0.3306198428584932,-0.12454845986647775,,,,
W1,fluxv_old,0.8359375,-0.3138520974767441,-0.11598027373430735,,,,
W1,fluxv_old,0.84375,-0.29487400198828145,-0.1065993757880389,,,,
W1,fluxv_old,0.8515625,-0.2737939212468843,-0.0965532445993642,,,,
W1,fluxv_old,0.859375,-0.25071413628522066,-0.08599221540875941,,,,
W1,fluxv_old,0.8671875,-0.22572949077733026,-0.07506728629374336,,,,
W1,fluxv_old,0.875,-0.19892643927930045,-0.06392826922663712,,,,
W1,fluxv_old,0.8828125,-0.17038248616058727,-0.05272229455738741,,,,
W1,fluxv_old,0.890625,-0.14016599228690063,-0.04159265902380013,,,,
W1,fluxv_old,0.8984375,-0.10833631584304707,-0.03067799179435641,,,,
W1,fluxv_old,0.90625,-0.07494424673593718,-0.020111701495585072,,,,
W1,fluxv_old,0.9140625,-0.04003269089361821,-0.01002165969459147,,,,
W1,fluxv_old,0.921875,-0.0036375594032107056,-0.000530072073056895,,,,
W1,fluxv_old,0.9296875,0.0342111812280326,0.008246512489638019,,,,
W1,fluxv_old,0.9375,0.07348833803399786,0.016197103185435918,,,,
W1,fluxv_old,0.9453125,0.11417223607277456,0.02321612394366157,,,,
W1,fluxv_old,0.953125,0.15624340987843824,0.029203266032163708,,,,
W1,fluxv_old,0.9609375,0.19968326781774137,0.034063371815779356,,,,
W1,fluxv_old,0.96875,0.2444727495853174,0.03770637926686177,,,,
W1,fluxv_old,0.9765625,0.29059099289770024,0.040047351493092256,,,,
W1,fluxv_old,0.984375,0.3380140209973074,0.0410066102728474,,,,
W1,fluxv_old,0.9921875,0.3867134572424388,0.040509987470943455,,,,
W1,fluxv_old_filtered,0.0,0.43652509040512,0.038501627673495006,,,,
W1,fluxv_old_filtered,0.0078125,0.4876461219556185,0.034897910021224686,,,,
W1,fluxv_old_filtered,0.015625,0.5399211989638284,0.029652360187516935,,,,
W1,fluxv_old_filtered,0.0234375,0.593292006348248,0.022718008017450428,,,,
W1,fluxv_old_filtered,0.03125,0.6476894700386528,0.01405678549073428,,,,
W1,fluxv_old_filtered,0.0390625,0.7030327402334127,0.0036405236627698907,,,,
W1,fluxv_old_filtered,0.046875,0.7592282882739338,-0.008547960036758544,,,,
W1,fluxv_old_filtered,0.0546875,0.8161691258684222,-0.022513692651289205,,,,
W1,fluxv_old_filtered,0.0625,0.8737341554749682,-0.03824830684133776,,,,
W1,fluxv_old_filtered,0.0703125,0.9317876624300298,-0.055728750206327025,,,,
W1,fluxv_old_filtered,0.078125,0.9901789630111264,-0.07491596846003162,,,,
W1,fluxv_old_filtered,0.0859375,1.0487422278816854,-0.09575359767090402,,,,
W1,fluxv_old_filtered,0.09375,1.1072965067858958,-0.11816671143571816,,,,
W1,fluxv_old_filtered,0.1015625,1.165645987137745,-0.1420606797536606,,,,
W1,fluxv_old_filtered,0.109375,1.2235805252288994,-0.1673202064323051,,,,
W1,fluxv_old_filtered,0.1171875,1.2808764929662744,-0.19380861990424297,,,,
W1,fluxv_old_filtered,0.125,1.337297984129412,-0.22136749718018878,,,,
W1,fluxv_old_filtered,0.1328125,1.3925984210327929,-0.24981670124131256,,,,
W1,fluxv_old_filtered,0.140625,1.446522594396006,-0.2789549076360977,,,,
W1,fluxv_old_filtered,0.1484375,1.498809155788288,-0.30856068587639685,,,,
W1,fluxv_old_filtered,0.15625,1.5491935633590708,-0.33839418530799203,,,,
