case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.685,-0.379799999999,-0.14604952612131222
W1,fluxv_old,CL,0.6875,-0.382499999999,-0.15774133153653336
W1,fluxv_old,CL,0.69,-0.39,-0.16866905513544259
W1,fluxv_old,CL,0.6925,-0.397899999999,-0.1795967787343523
W1,fluxv_old,CL,0.695,-0.400599999999,-0.19052450233326157
W1,fluxv_old,CL,0.6975,-0.41,-0.20073978605550047
W1,fluxv_old,CL,0.7,-0.415999999999,-0.21085329265250025
W1,fluxv_old,CL,0.7025,-0.42,-0.22096679924950047
W1,fluxv_old,CL,0.705,-0.421399999999,-0.23043568243858464
W1,fluxv_old,CL,0.7075,-0.43,-0.23968969115836405
W1,fluxv_old,CL,0.71,-0.43,-0.24894369987814305
W1,fluxv_old,CL,0.7125,-0.43,-0.2576357707333678
W1,fluxv_old,CL,0.715,-0.432199999999,-0.2659906788698594
W1,fluxv_old,CL,0.7175,-0.44,-0.27434558700635137
W1,fluxv_old,CL,0.72,-0.44,-0.28223433206712717
W1,fluxv_old,CL,0.7225,-0.44,-0.28965691405218763
W1,fluxv_old,CL,0.725,-0.44,-0.29707949603724776
W1,fluxv_old,CL,0.7275,-0.44,-0.3041425934492065
W1,fluxv_old,CL,0.73,-0.44,-0.3106065499059956
W1,fluxv_old,CL,0.7325,-0.44,-0.317070506362785
W1,fluxv_old,CL,0.735,-0.44,-0.32329005681210665
W1,fluxv_old,CL,0.7375,-0.44,-0.32877638923902625
W1,fluxv_old,CL,0.74,-0.44,-0.33426272166594556
W1,fluxv_old,CL,0.7425,-0.44,-0.3396254119292299
W1,fluxv_old,CL,0.745,-0.44,-0.34412260704706715
W1,fluxv_old,CL,0.7475,-0.44,-0.3486198021649047
W1,fluxv_old,CL,0.75,-0.43,-0.35311699728274193
W1,fluxv_old,CL,0.7525,-0.43,-0.3566210146494503
W1,fluxv_old,CL,0.755,-0.43,-0.36012503201615875
W1,fluxv_old,CL,0.7575,-0.43,-0.3636290493828671
W1,fluxv_old,CL,0.76,-0.42,-0.36626684364425427
W1,fluxv_old,CL,0.7625,-0.42,-0.36878089174773826
W1,fluxv_old,CL,0.765,-0.42,-0.37129493985122236
W1,fluxv_old,CL,0.7675,-0.4111,-0.37307405188128134
W1,fluxv_old,CL,0.77,-0.41,-0.3746081852201987
W1,fluxv_old,CL,0.7725,-0.41,-0.376142318559116
W1,fluxv_old,CL,0.775,-0.402999999999,-0.37707405661446064
