case_id,model,quantity,observation_count,mae,rmse,bias,max_abs_error,range_nrmse,correlation,observed_mean,predicted_mean,observed_max,predicted_max,max_phase_error_cycle,observed_min,predicted_min,min_phase_error_cycle
W3,fluxv_old_filtered,CD,400,0.32184582743726525,0.3309651983122779,-0.32184582743726525,0.43416557559231717,0.5393626092886886,0.9166495930250296,0.12705842105261791,-0.19478740638464728,0.382456140351,0.042368946748833236,0.41500000000000004,-0.231166666667,-0.5814742613120675,0.020000000000000018
W3,fluxv_v4b,CL,400,0.34863715766574344,0.37708029197335435,-0.34863715766574344,0.6757690080069242,0.12224699788187687,0.990438010569776,1.1404167910448346,0.7917796333790913,2.75124378109,2.27123964094833,0.0,-0.333333333333,-0.570978143916587,-0.03749999999999998
W3,fluxv_v4b,CD,400,0.24064510618231297,0.26310623403983824,-0.24064510618231297,0.4263447450805407,0.4287751873474942,0.8227191553473954,0.12705842105261791,-0.11358668512969505,0.382456140351,0.06944118150665482,-0.015000000000000013,-0.231166666667,-0.3151602011316064,0.03749999999999998
W3,fluxv_v4b_filtered,CL,400,0.3486287525010631,0.3743187762452229,-0.3486287525010631,0.596652064603066,0.12135173229904576,0.9915504829862368,1.1404167910448346,0.7917880385437713,2.75124378109,2.2157677896732064,0.010000000000000009,-0.333333333333,-0.4945099413141977,-0.022500000000000075
W3,fluxv_v4b_filtered,CD,400,0.240645869061019,0.2625914511712678,-0.240645869061019,0.39858738740329275,0.42793626339831425,0.8314379340179852,0.12705842105261791,-0.11358744800840112,0.382456140351,0.04020335023696953,-0.029999999999999916,-0.231166666667,-0.31549097186759184,0.05249999999999999
W3,fluxv_v4b_lcrit019,CL,400,0.2869577955146037,0.30439352957139687,-0.2867480673281227,0.5396208311649549,0.09868241845797933,0.994843808539356,1.1404167910448346,0.8536687237167119,2.75124378109,2.4140687804393264,-0.015000000000000013,-0.333333333333,-0.5957351081082739,-0.0050000000000000044
W3,fluxv_v4b_lcrit019,CD,400,0.25254925356168806,0.2692519175912419,-0.25254925356168806,0.3818057209284762,0.43879059662028447,0.8650322427287674,0.12705842105261791,-0.12549083250907017,0.382456140351,0.0745739703458543,-0.007499999999999951,-0.231166666667,-0.34873321316904543,0.02750000000000008
W3,fluxv_v4b_lcrit019_filtered,CL,400,0.2867078289412264,0.29939123245097254,-0.2867078289412264,0.4646061436861366,0.09706070600441986,0.9963251251984979,1.1404167910448346,0.8537089621036082,2.75124378109,2.3438003078105174,0.0,-0.333333333333,-0.5429068991011938,0.0
W3,fluxv_v4b_lcrit019_filtered,CD,400,0.2525511260078071,0.2688956952934278,-0.2525511260078071,0.3750088568644521,0.4382100733839576,0.8703618982192408,0.12705842105261791,-0.1254927049551892,0.382456140351,0.05917923399627782,-0.015000000000000013,-0.231166666667,-0.33683450997210196,0.04499999999999993
W3,published_standard_theodorsen_digitized,CL,400,0.2898169725648085,0.3652318714757093,-0.25218359568861076,0.7284724632588677,0.11840581639795686,0.9837537191051755,1.1404167910448346,0.8882331953562237,2.75124378109,2.028955103357297,0.01750000000000007,-0.333333333333,-0.24942319461440135,-0.007500000000000062
W4,fluxv_old,CL,400,0.6373695943239747,0.7812440108032124,-0.38592818912720134,1.4578828469422787,0.1615825966119321,0.9466468402321453,1.3730909283980068,0.9871627392708056,4.28640776699,2.865530969431884,-0.007500000000000007,-0.54854368932,-0.8382133440342714,0.0675
W4,fluxv_old,CD,400,0.26245593137631235,0.27923771046148665,-0.2369871837941122,0.4578448330806799,0.11076062727965603,0.9816636686686935,-0.3033136476425149,-0.5403008314366272,0.606699751861,0.5417086929989157,0.06499999999999995,-1.91439205955,-2.1642710643087226,0.007500000000000062
W4,fluxv_old_filtered,CL,400,0.6373780604033213,0.7812438160303125,-0.3859281860489521,1.458084946387347,0.16158255632757731,0.9466469058834326,1.3730909283980068,0.9871627423490545,4.28640776699,2.8658660624212646,-0.007500000000000007,-0.54854368932,-0.8383641498784613,0.0675
W4,fluxv_old_filtered,CD,400,0.2624681223887161,0.27924869571819533,-0.2369871828326396,0.45699770097254494,0.11076498462065368,0.9816581222180543,-0.3033136476425149,-0.5403008304751544,0.606699751861,0.5422320784729602,0.06499999999999995,-1.91439205955,-2.1638503757989933,0.007500000000000062
W4,fluxv_v4b,CL,400,0.5522187646976295,0.7120346033291168,-0.3276462749711031,1.5998786353400796,0.1472682010901794,0.9570461224472347,1.3730909283980068,1.0454446534269037,4.28640776699,3.3352132692984857,-0.015000000000000013,-0.54854368932,-0.7708328689875525,0.06000000000000005
W4,fluxv_v4b,CD,400,0.20705079062966955,0.23375521937329088,-0.14088776250400747,0.4207195421610774,0.09271983603106593,0.97306292655926,-0.3033136476425149,-0.44420141014652237,0.606699751861,0.566811430865643,0.04749999999999999,-1.91439205955,-1.8594633195393602,0.010000000000000009
W4,fluxv_v4b_filtered,CL,400,0.5513585353101536,0.7078780735787529,-0.32766761845953213,1.4751097735853307,0.1464085172261482,0.95859377124821,1.3730909283980068,1.0454233099384749,4.28640776699,3.1075152175444343,-0.01749999999999996,-0.54854368932,-0.7741070277411719,0.0675
W4,fluxv_v4b_filtered,CD,400,0.20505497143270648,0.2314337267583123,-0.1408810786126834,0.4124942915390929,0.0917990077595722,0.9744009521269934,-0.3033136476425149,-0.4441947262551983,0.606699751861,0.5391811573637635,0.05499999999999994,-1.91439205955,-1.7465342535872135,0.007500000000000062
W4,fluxv_v4b_lcrit019,CL,400,0.5167953674023318,0.6653490773334527,-0.30409310309293713,1.5446279483158127,0.13761235936818328,0.9648821832101231,1.3730909283980068,1.0689978253050698,4.28640776699,3.416388798235816,-0.06999999999999995,-0.54854368932,-0.7433725366006576,0.06000000000000005
W4,fluxv_v4b_lcrit019,CD,400,0.19458436681084698,0.22900439961128463,-0.160502270942645,0.43147043997543894,0.09083540653885028,0.978627121971576,-0.3033136476425149,-0.4638159185851599,0.606699751861,0.4948380299545158,0.07250000000000001,-1.91439205955,-1.8752927289972592,0.007500000000000062
W4,fluxv_v4b_lcrit019_filtered,CL,400,0.5151095326079149,0.6616287427830501,-0.3041444957020977,1.3687617829060814,0.1368428925836621,0.9661678844226779,1.3730909283980068,1.0689464326959095,4.28640776699,3.2468235708062836,-0.022499999999999964,-0.54854368932,-0.7410345751237576,0.0525000000000001
W4,fluxv_v4b_lcrit019_filtered,CD,400,0.19097320962766468,0.22678916199021443,-0.16048274703178134,0.4220875778927685,0.08995672468718444,0.9797997750612534,-0.3033136476425149,-0.4637963946742963,0.606699751861,0.4992189301286361,0.04999999999999993,-1.91439205955,-1.8377213221439708,0.007500000000000062
W4,published_standard_theodorsen_digitized,CL,400,0.5916671561698146,0.8474945440524677,-0.49058793025740377,1.7988794428600001,0.17528501613939046,0.9644428845249661,1.3730909283980068,0.8825029981406032,4.28640776699,2.523693154802607,0.07750000000000001,-0.54854368932,-0.8678256212117069,0.010000000000000009
