figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
9,razak2014_fig9,v4b,0.1640625,0.27007467544010755,0.035502282667674384,0.647881041977492,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.171875,0.2729093025727216,0.034434137996076024,0.6431547279531457,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1796875,0.27604864827814507,0.03328017632545074,0.638872019994545,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1875,0.27950152925516564,0.03203601093999506,0.6350365786964103,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1953125,0.2832764414791109,0.030697707616236705,0.6317566665457942,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.203125,0.287381414326628,0.029261869939922032,0.629117752751574,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2109375,0.29182379774272255,0.027725717091304686,0.626908669894806,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.21875,0.29661005105732613,0.026087154638978042,0.6256437867355307,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2265625,0.3017455088779403,0.024344843466137342,0.62484963077809,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.234375,0.3072341152984016,0.022498259325187443,0.6244033629908883,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2421875,0.3130781341866669,0.020547748074843834,0.6243100730737317,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.25,0.31927785654471513,0.01849457215986848,0.6245738752923446,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2578125,0.3258313522228485,0.016340947139780654,0.6251973927173027,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.265625,0.33273420414149746,0.01409006851703838,0.6261813049652817,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2734375,0.33997924122719,0.01174612880710775,0.6275239689867155,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.28125,0.3475562937539676,0.009314324300247891,0.6292211223784592,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.2890625,0.35545197391366873,0.00680085110517321,0.6312656774106732,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.296875,0.36364948510412953,0.004212890502996181,0.6336476115857098,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3046875,0.37212846575981595,0.0015585838134927364,0.6367271701012096,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3125,0.38086487813965486,-0.0011530035892598745,0.6406103931307744,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3203125,0.38983094579457944,-0.003911928688356507,0.6449133829588947,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.328125,0.39899514523251955,-0.006707427254202175,0.6499802713023717,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3359375,0.40832225630127694,-0.009527979806437386,0.6554649539435181,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.34375,0.41777347521327324,-0.012361386511280086,0.6613226013549247,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3515625,0.427306592839348,-0.015194850269622218,0.6675165593433307,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.359375,0.436876240032936,-0.018015067245781266,0.6740081802876959,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3671875,0.4464342002324614,-0.020808323856964052,0.6807574967006377,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.375,0.45592978879339396,-0.02356059952633472,0.687723896776334,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3828125,0.46531029447211214,-0.02625767399400627,0.6948667779246114,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.390625,0.4745214795436674,-0.028885238169927444,0.7021461574296197,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.3984375,0.48350813045977326,-0.03142900733423205,0.7095232233391987,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.40625,0.4922146570990953,-0.03387483589313189,0.7169608131259169,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4140625,0.5005857253261029,-0.0362088322310788,0.7244238122090758,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.421875,0.5085669178072297,-0.03841747302286489,0.731879468776196,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4296875,0.5161054046596026,-0.04048771516541949,0.7392976252443322,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4375,0.5231506192433065,-0.04240710504962044,0.7466500590995739,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4453125,0.5296549212354897,-0.04416388338476729,0.7539112305445358,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.453125,0.5355742359437968,-0.04574708519365464,0.7610586335083838,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4609375,0.5408686584497518,-0.04714663421752092,0.7680727384445238,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.46875,0.545503006348021,-0.04835343038405934,0.7749368906011059,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4765625,0.5494473114742497,-0.04935942957504139,0.7816371727224223,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.484375,0.5526772390333128,-0.05015771459167524,0.7881622408544535,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.4921875,0.5551744253116532,-0.050742557195388734,0.7945031413096686,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5,0.5569267294127423,-0.05110947090191722,0.8006531160088735,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5078125,0.5579283874973123,-0.051255253534847944,0.8066074024589702,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.515625,0.5581800689874614,-0.05117801908163978,0.8123630336238781,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5234375,0.557688833828325,-0.05087721861827403,0.817918641961886,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.53125,0.5564679929390463,-0.05035365055603312,0.8232742709792854,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5390625,0.5545368738010654,-0.04960945929806722,0.8284311968152609,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.546875,0.5519204928814959,-0.048648121990756896,0.8333917616421267,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5546875,0.5486491462523223,-0.04747442404782029,0.8381592200439969,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5625,0.5447579280385235,-0.04609442349302859,0.842737599024584,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5703125,0.5402861832285631,-0.04451540412682574,0.8471311711583248,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.578125,0.5352769121764235,-0.04274581883431159,0.8513435978813629,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.5859375,0.5297761391252369,-0.04079522285901027,0.855378924368898,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.59375,0.5238322427222636,-0.03867419532710695,0.8592414890563038,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6015625,0.5174952684321301,-0.036394250574014235,0.8629358445009946,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.609375,0.5108162502502333,-0.03396774316896054,0.8664666886428256,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6171875,0.5038465471163381,-0.031407767880381,0.8698388055065235,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.625,0.49663720801722083,-0.028728053465299556,0.873057014402293,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6328125,0.48923836976226465,-0.02594285065779464,0.8761261267134689,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.640625,0.4816986891813304,-0.02306681720780668,0.8790509094070897,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6484375,0.4740648161612242,-0.02011489939478868,0.8818360544597982,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.65625,0.466380938185028,-0.01710221145064521,0.8844861534537127,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.6640625,0.45868840524446985,-0.014043917175630355,0.8870056766617986,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.671875,0.4510254140200516,-0.010955111729405251,0.8893989560074564,0.0,0.0,0.0
