figure,case_id,model,quantity,phase,experiment,experiment_std,prediction
9,razak2014_fig9,fluxv_old,CD,0.70917823275,-0.008765717281622412,0.009422043386985284,0.003756185111164583
9,razak2014_fig9,fluxv_old,CD,0.7256711984783222,-0.0014605177513388606,0.00873283535333841,0.009987247202800727
9,razak2014_fig9,fluxv_old,CD,0.7421621235031393,0.0057366837570514695,0.007912305781333109,0.01589331506196664
9,razak2014_fig9,fluxv_old,CD,0.7586552747499619,0.01266425640118464,0.00716550255847627,0.02137519808199253
9,razak2014_fig9,fluxv_old,CD,0.775148240478284,0.019181338911330004,0.006674750983770029,0.026370956597045983
9,razak2014_fig9,fluxv_old,CD,0.7916415772436071,0.025174111775977392,0.006498885660342794,0.030832268247031086
9,razak2014_fig9,fluxv_old,CD,0.8081323167499237,0.03055626671680632,0.006523617601715315,0.03472954926397073
9,razak2014_fig9,fluxv_old,CD,0.8246252824782458,0.0352723117924684,0.006534359189008469,0.038054077584436095
9,razak2014_fig9,fluxv_old,CD,0.8411184337250684,0.03929586250969985,0.006332597626285327,0.040812914383259846
9,razak2014_fig9,fluxv_old,CD,0.857611584971891,0.042628346072406786,0.005798936039402767,0.04302892888777236
9,razak2014_fig9,fluxv_old,CD,0.8741023244782077,0.045296578890824515,0.004907046272093304,0.04473752371303999
9,razak2014_fig9,fluxv_old,CD,0.8905954757250303,0.047348109389824186,0.0037478937943709817,0.04598467210121251
9,razak2014_fig9,fluxv_old,CD,0.9070886269718529,0.048847593662151065,0.00264348209804646,0.04681375367506832
9,razak2014_fig9,fluxv_old,CD,0.923581592700175,0.04987149979077325,0.0024401055414295923,0.04729165916402763
9,razak2014_fig9,fluxv_old,CD,0.9400725177249921,0.05050262438124227,0.0035209120363074477,0.047475307156505546
9,razak2014_fig9,fluxv_old,CD,0.9565656689718147,0.050826825015908364,0.005049560093715225,0.04741901169490446
9,razak2014_fig9,fluxv_old,CD,0.9730586347001369,0.05092665417333912,0.006504970055942412,0.04717223196802516
9,razak2014_fig9,fluxv_old,CD,0.9895517859469595,0.05087931231745445,0.007656441923170154,0.04677747947037731
9,razak2014_fig9,fluxv_v4b,CL,2.4340033400984433e-10,0.5518559517188066,0.14727631655102652,0.2665008142022676
9,razak2014_fig9,fluxv_v4b,CL,0.016492642818245664,0.5599567892582333,0.11640350174010275,0.26299830097660826
9,razak2014_fig9,fluxv_v4b,CL,0.03298343020791718,0.5638944636141159,0.11025488196471082,0.260189317407735
9,razak2014_fig9,fluxv_v4b,CL,0.04947704675497876,0.563301375885644,0.13248278469451039,0.2581372747073745
9,razak2014_fig9,fluxv_v4b,CL,0.06597010674648819,0.5580466833989273,0.16483726250793376,0.256905596205083
9,razak2014_fig9,fluxv_v4b,CL,0.08246325949725632,0.5482227788278864,0.19180057146112137,0.2565563195058961
9,razak2014_fig9,fluxv_v4b,CL,0.0989540005072985,0.5341113471539849,0.2052193397656034,0.2571520432689708
9,razak2014_fig9,fluxv_v4b,CL,0.11544715325806662,0.5161691405746665,0.2013132141276448,0.2587580289284293
9,razak2014_fig9,fluxv_v4b,CL,0.13194030600883475,0.4950012184301151,0.17972896158049,0.26144345134381897
9,razak2014_fig9,fluxv_v4b,CL,0.14843336600034418,0.4713388349322111,0.14455974658978957,0.2652827046492214
9,razak2014_fig9,fluxv_v4b,CL,0.16492419976964504,0.4460146508861614,0.11010446218460915,0.27038732792614956
9,razak2014_fig9,fluxv_v4b,CL,0.18141725976115447,0.41995231134618577,0.11133063690892109,0.2768131480636306
9,razak2014_fig9,fluxv_v4b,CL,0.1979104125119226,0.3941277139305656,0.16309335078769135,0.2846414796002843
9,razak2014_fig9,fluxv_v4b,CL,0.21440347250343203,0.3695574597374038,0.2371784727075423,0.2939471926077307
9,razak2014_fig9,fluxv_v4b,CL,0.23089421351347422,0.3472525161651738,0.31392777118207793,0.304788717914952
9,razak2014_fig9,fluxv_v4b,CL,0.24738736626424235,0.32819807643654547,0.3829798866956243,0.31720456326023927
9,razak2014_fig9,fluxv_v4b,CL,0.2638805190150105,0.3132939832248048,0.4374210022206432,0.3311928417204694
9,razak2014_fig9,fluxv_v4b,CL,0.2803735790065199,0.30332613762823585,0.47236839028844085,0.34670628570236195
9,razak2014_fig9,fluxv_v4b,CL,0.29686441277582076,0.29891523250349417,0.48479802178051273,0.36363837612637784
9,razak2014_fig9,fluxv_v4b,CL,0.3133575655265889,0.3004701336011743,0.4735765371739391,0.3818490689274855
9,razak2014_fig9,fluxv_v4b,CL,0.32985062551809835,0.3081632321299323,0.4394974430615036,0.40105531814392886
9,razak2014_fig9,fluxv_v4b,CL,0.34634368550960776,0.3218846709469972,0.3852243526279279,0.4209383915714347
9,razak2014_fig9,fluxv_v4b,CL,0.36283451927890864,0.34125417532739283,0.3152309867488202,0.4411086813228304
9,razak2014_fig9,fluxv_v4b,CL,0.37932757927041805,0.3656092221947163,0.23599412820297774,0.4611259336793152
9,razak2014_fig9,fluxv_v4b,CL,0.3958207320211862,0.3940209553225908,0.15770725225712193,0.4804980849744557
9,razak2014_fig9,fluxv_v4b,CL,0.4123138847719543,0.42536277562765173,0.10333120596282122,0.49871208982187826
9,razak2014_fig9,fluxv_v4b,CL,0.42880462578199646,0.4583347069204438,0.11249568599225539,0.5152534960919587
9,razak2014_fig9,fluxv_v4b,CL,0.4452977785327646,0.4915498731947298,0.16372122661137417,0.5296426648683004
9,razak2014_fig9,fluxv_v4b,CL,0.46179083852427405,0.5236139337922641,0.2170775732727759,0.5413748559021014
9,razak2014_fig9,fluxv_v4b,CL,0.4782839912750422,0.5532029693001665,0.2597511578546536,0.5501590288645788
9,razak2014_fig9,fluxv_v4b,CL,0.494774825044343,0.5791429167156961,0.2883603521545342,0.555754749188268
9,razak2014_fig9,fluxv_v4b,CL,0.5112678850358525,0.6004805540615794,0.30294938071450755,0.5580397035235347
9,razak2014_fig9,fluxv_v4b,CL,0.5277609450273619,0.6165405415947567,0.30538961770892853,0.5570132193039151
9,razak2014_fig9,fluxv_v4b,CL,0.54425409777813,0.6269555620993994,0.298486927238158,0.5527982245378618
9,razak2014_fig9,fluxv_v4b,CL,0.5607448387881722,0.6316944893850558,0.2851242142449873,0.5456321315938025
9,razak2014_fig9,fluxv_v4b,CL,0.5772379915389403,0.6310367549533378,0.26740763733582124,0.5358456501997181
9,razak2014_fig9,fluxv_v4b,CL,0.5937311442897084,0.625551080781821,0.24610844998990783,0.5238465885000015
9,razak2014_fig9,fluxv_v4b,CL,0.6102219780590094,0.616040269067677,0.22069342253733604,0.5100606424893094
9,razak2014_fig9,fluxv_v4b,CL,0.6267150380505188,0.6034821892240576,0.1901213064441249,0.49501297900769975
9,razak2014_fig9,fluxv_v4b,CL,0.6432080980420282,0.5889458357556179,0.1544326643476052,0.4791746517475604
9,razak2014_fig9,fluxv_v4b,CL,0.6597012507927963,0.5735137240461234,0.11792178379019266,0.46298268405258475
9,razak2014_fig9,fluxv_v4b,CL,0.6761919918028385,0.5582058354134545,0.09670498930135742,0.44682658016883053
9,razak2014_fig9,fluxv_v4b,CL,0.6926851445536066,0.5439160971462862,0.11556027774809086,0.43102536595564755
9,razak2014_fig9,fluxv_v4b,CL,0.7091782973043748,0.53135280613051,0.16737045554623778,0.41583436398665313
9,razak2014_fig9,fluxv_v4b,CL,0.7256713572958842,0.5210162348932048,0.23070267582618015,0.40143376418705085
9,razak2014_fig9,fluxv_v4b,CL,0.742162191065185,0.513169195522077,0.2933791334692748,0.3879354687383291
9,razak2014_fig9,fluxv_v4b,CL,0.7586552510566945,0.507849574647133,0.34797559826157093,0.3754060192729609
9,razak2014_fig9,fluxv_v4b,CL,0.7751483110482039,0.5048968118289385,0.38910456324759185,0.36381735817453814
9,razak2014_fig9,fluxv_v4b,CL,0.7916415565582308,0.5039871101813012,0.41290511322890383,0.3531202994552462
9,razak2014_fig9,fluxv_v4b,CL,0.808132297568273,0.5046851255653686,0.41715404948930385,0.34324099634996386
9,razak2014_fig9,fluxv_v4b,CL,0.8246254503190411,0.5064887545016812,0.401405323860644,0.33408648307669814
9,razak2014_fig9,fluxv_v4b,CL,0.8411185103105505,0.5088989920455764,0.36712299403408233,0.32556498174983683
9,razak2014_fig9,fluxv_v4b,CL,0.85761157030206,0.5114617620069339,0.3177534757578286,0.3175895012344207
9,razak2014_fig9,fluxv_v4b,CL,0.8741024040713609,0.5137987614556485,0.2588938496135685,0.31008806424370067
9,razak2014_fig9,fluxv_v4b,CL,0.8905956495813877,0.5156497134688471,0.1989814258510874,0.3030047338049128
9,razak2014_fig9,fluxv_v4b,CL,0.9070886168136384,0.5168723671308908,0.15117906196920752,0.2963178995868547
9,razak2014_fig9,fluxv_v4b,CL,0.9235815840458892,0.5174478495480213,0.1327365828628093,0.29000968417009726
9,razak2014_fig9,fluxv_v4b,CL,0.9400726960929661,0.5174636239069832,0.14660646966510557,0.284093373504382
9,razak2014_fig9,fluxv_v4b,CL,0.9565656633252169,0.5170770112699243,0.17331964235475333,0.2785987509046596
9,razak2014_fig9,fluxv_v4b,CL,0.9730586305574676,0.5164980077905255,0.19610387292294393,0.2735719575251546
9,razak2014_fig9,fluxv_v4b,CL,0.9895519688267531,0.5159416799521344,0.20783098207124504,0.2690685443185721
9,razak2014_fig9,fluxv_v4b,CD,3.561954686997794e-10,0.05153259612646531,0.008700629370457715,0.04646873665878844
9,razak2014_fig9,fluxv_v4b,CD,0.016492595047516698,0.05118927847105721,0.008448277185063673,0.04589840638363016
9,razak2014_fig9,fluxv_v4b,CD,0.032983520072333745,0.05090145275699749,0.007843724877846056,0.04524697297422644
9,razak2014_fig9,fluxv_v4b,CD,0.0494770423561573,0.050701118398180436,0.00700851012880711,0.044518626912943164
9,razak2014_fig9,fluxv_v4b,CD,0.06597019360297993,0.05059871651791896,0.006098198163709914,0.043706135354051656
9,razak2014_fig9,fluxv_v4b,CD,0.08246315933130209,0.05058543976579265,0.005271828323088931,0.04279081938092485
9,razak2014_fig9,fluxv_v4b,CD,0.09895408435611913,0.05063325109664642,0.0046418680305432775,0.04174376512333026
9,razak2014_fig9,fluxv_v4b,CD,0.1154470500844413,0.050697137250442406,0.004216448592537875,0.0405268324664559
9,razak2014_fig9,fluxv_v4b,CD,0.1319402013312639,0.050717906823075684,0.003898557701456589,0.03909547488327265
