benchmark,case_id,phase,strip_id,a0_pre,j,j_rate,supercritical_gate,chi_equilibrium,chi,chi_previous_cycle,chi_cycle_difference,loss_fraction,separated_CSf,target_CS,delta_CS_2d,delta_CS_projected,delta_CL_projected,delta_CD_projected,delta_CN,transient_owner,incidence_source,canonical_eligible
yang2025,aoa_20,0.4140625,1,0.09374650965959255,1.156959609782305,0.13056526188717643,0.1356655914823497,0.017404916479747432,0.12061270424566277,0.12061270424566277,0.0,0.016362993861773548,0.04772785152836892,0.04694688098677458,-0.0007809705415943377,-0.0001876611259117497,-6.4183885180993e-05,0.00017634377522764643,0.0,0.04041900615317073,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.421875,1,0.09376719290564861,1.1574701849529372,0.1074939097592065,0.13604686064491578,0.014413424036235798,0.11380341325720665,0.11380341325720665,0.0,0.015482597104318954,0.04772785152836869,0.0469889004325002,-0.0007389510958684883,-0.00017756418105259716,-6.073052665311427e-05,0.00016685575065101857,0.0,0.04028104086843076,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4296875,1,0.09427866728055549,1.1701319905265108,0.057776458240189475,0.14539555529112447,0.008330460691471513,0.10784480609469375,0.10784480609469375,0.0,0.015680155467401643,0.04772785152836884,0.046979471396278956,-0.0007483801320898875,-0.0001798299048658899,-6.150544983647303e-05,0.00016898483459910866,0.0,0.04013100596806962,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4375,1,0.0938238341591659,1.1588689761824484,0.3118960956659647,0.13708967920238524,0.041004477104788065,0.10289861326068399,0.10289861326068399,0.0,0.014106337882277472,0.04772785152836879,0.04705458632831445,-0.0006732652000543404,-0.0001617803729465447,-5.5332146342457356e-05,0.00015202382264586028,0.0,0.03996936775893445,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4453125,1,0.0935429538961641,1.1519407538136213,0.5767831970033185,0.13189979893549675,0.07069897987162874,0.10080621451986956,0.10080621451986956,0.0,0.013296319426619347,0.0477278515283688,0.04709324676890135,-0.0006346047594674512,-0.0001524905708062887,-5.21548468829799e-05,0.00014329426412610058,0.0,0.03979659820860937,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.453125,1,0.09565127909563113,1.2044521393026766,0.6462436888866315,0.1697470016708552,0.09885386438615801,0.09813254653408049,0.09813254653408049,0.0,0.01665770554048584,0.0477278515283688,0.046932815031529206,-0.0007950364968395962,-0.000191041065176758,-6.53398924928432e-05,0.0001795198792136793,0.0,0.039613173524306045,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4609375,1,0.09497750558479508,1.1875434324308423,0.10159485601192218,0.15792553544500698,0.01579106354623742,0.0939328109799881,0.0939328109799881,0.0,0.014834389469869251,0.04772785152836884,0.04701983799023692,-0.0007080135381319214,-0.00017013012738656318,-5.8187930552766615e-05,0.00015987002527852,0.0,0.03941957288499276,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.46875,1,0.09392091231969127,1.161268346683878,0.23274241688710315,0.13887259318175382,0.031309569384077626,0.08962124295261298,0.08962124295261298,0.0,0.012445934413001344,0.04772785152836884,0.0471338338185733,-0.000594017709795544,-0.00014273781953949056,-4.881920949689e-05,0.00013412967572832993,0.0,0.03921627732473165,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4765625,1,0.09356889046924476,1.1525796375850004,0.366114537363592,0.1323809935638811,0.04622618014451415,0.08642935534742732,0.08642935534742732,0.0,0.01144160393397817,0.04772785152836883,0.04718176835456152,-0.0005460831738073116,-0.00013121952465573614,-4.487972062988099e-05,0.00012330601902202983,0.0,0.03900376876378642,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.484375,1,0.09277704497987808,1.133154309841741,0.6898030891152274,0.11750765865271917,0.07497952003579027,0.08512628320143331,0.08512628320143331,0.0,0.010002990228808727,0.047727851528368864,0.04725043029588856,-0.00047742123248030455,-0.00011472059604005779,-3.923675470002671e-05,0.00010780209755100342,0.0,0.03878252918292935,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.4921875,1,0.09341794585466544,1.148863971829566,0.24812304218269673,0.12957493269851605,0.031149067569680902,0.08068064664123321,0.08068064664123321,0.0,0.010454189358610548,0.04772785152836884,0.047228895530811624,-0.0004989559975572197,-0.00011989523201586402,-4.1006584438130114e-05,0.00011266466479272181,0.0,0.03855303993544401,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5,1,0.09477722550903826,1.1825403421112568,0.3464480977037274,0.15436288776868035,0.05076393795177657,0.07778256227448717,0.07778256227448717,0.0,0.012006740930737054,0.04772785152836884,0.047154795579887034,-0.0005730559484818099,-0.00013770087189585972,-4.709647194189149e-05,0.00012939649319632505,0.0,0.03831578119056678,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5078125,1,0.0957053728518697,1.205814834379105,0.1646959309744259,0.17068527315396875,0.027342539198999705,0.07455055686323347,0.07455055686323347,0.0,0.012724682161981485,0.04772785152836884,0.04712052978739611,-0.0006073217409727355,-0.0001459346743975239,-4.991259825362592e-05,0.00013713373664814743,0.0,0.03807123150148317,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.515625,1,0.09558795722815304,1.2028579543754783,0.14732944038265963,0.1686466416400777,0.02424422832007868,0.07107473413566501,0.07107473413566501,0.0,0.011986515217441294,0.04772785152836877,0.047155760909728194,-0.0005720906186405736,-0.0001374689106691113,-4.701713652987299e-05,0.00012917852094324113,0.0,0.03781986749047472,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5234375,1,0.09625520320130346,1.219709520358557,0.1068557757869188,0.1801326600238139,0.01888471801633164,0.0678627052356231,0.0678627052356231,0.0,0.012224289610504792,0.047727851528368725,0.04714441244879877,-0.0005834390795699529,-0.0001401958572592159,-4.794980719346201e-05,0.00013174101253123972,0.0,0.037562163643344526,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.53125,1,0.09619879449142157,1.2182803595859366,0.08106595951981894,0.1791708762834564,0.014316713620530113,0.06426754555251402,0.06426754555251402,0.0,0.011514872453230887,0.0477278515283688,0.04717827140555289,-0.0005495801228159111,-0.0001320598142098979,-4.516711658363046e-05,0.0001240956329153991,0.0,0.037298592204829895,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5390625,1,0.09725032689739173,1.245059547708701,0.14767244641216307,0.19682556401393592,0.028244758522022413,0.0624749336913861,0.0624749336913861,0.0,0.012296664060540316,0.04772785152836877,0.04714095817179307,-0.0005868933565756976,-0.00014102589306413339,-4.823369615842533e-05,0.00013252099105210877,0.0,0.03702962316626024,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.546875,1,0.09820004728962502,1.2694961180441096,0.29694660752619423,0.212285893760209,0.059299480472060906,0.060788005974381824,0.060788005974381824,0.0,0.01290443617817257,0.0477278515283688,0.04711195051439967,-0.0006159010139691334,-0.00014799620673998785,-5.0617683840865946e-05,0.0001390709433778723,0.0,0.036755724336236084,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5546875,1,0.09647559152806899,1.2253012695449326,0.5723690160169099,0.1838741827376117,0.09522231832136178,0.060535071873749534,0.060535071873749534,0.0,0.01113083686774828,0.04772785152836888,0.04719660059895849,-0.0005312509294103859,-0.0001276554520882319,-4.366073601952011e-05,0.00011995688633040061,0.0,0.036477361484504534,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.5625,1,0.09454195332635845,1.1766766227465644,1.8985636532591366,0.1501488338692163,0.2218305288847744,0.0708306113822322,0.0708306113822322,0.0,0.010635133701285803,0.04772785152836888,0.04722025944608956,-0.0005075920822793165,-0.00012197041577261545,-4.171633908404134e-05,0.00011461469965571592,0.0,0.03619499854844699,kinematic_proxy_no_uvlm_induction,false
