Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,14466,16,904.1,896.0,864,929,21.7,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.1,14337,8,1792.1,1776.0,1760,1920,54.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::acos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(double) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,12641,8,1580.1,1569.0,1568,1600,16.2,"void ipiv_lower_small<double, (int)32>(int, void *, int, long *, int, int)"
0.0,10623,8,1327.9,1343.5,1280,1344,24.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,10497,8,1312.1,1312.0,1280,1344,17.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,10111,8,1263.9,1263.5,1247,1281,17.2,"void create_pivot_v2<(int)32>(int, int *, long *, int)"
0.0,10081,8,1260.1,1248.5,1248,1280,16.5,"void laswp_kernel<double, (bool)0>(int, T1 *const *, int, int, int, const int *, int, int, int)"
0.0,9696,8,1212.0,1216.0,1184,1217,11.3,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnOther_add<double>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,9600,8,1200.0,1200.0,1184,1216,17.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,7968,8,996.0,992.0,960,1024,20.3,"void ipiv_64_to_32_ker<(int)128>(long, const long *, int *)"
0.0,7265,8,908.1,896.0,895,929,17.3,"xxtrf4_set_info_ker(int, int *)"
0.0,7200,8,900.0,896.0,895,929,11.7,"void ipiv_lower_diag<double, (int)32>(int, void *, int, int *, int)"
