paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,fluxv_old,CT,9,observation_equal_replicates_retained,0.04115470590685577,0.059995752058883904,0.03206724225672354,0.12752479964265884,,
izraelevitz2017_fig14,theta_25_markers,theta_25,cycle_mean,fluxv_old,CT,5,observation_equal_replicates_retained,0.023475463846848628,0.02908011775892706,0.017830374821784033,0.0537732778104921,,
izraelevitz2017_fig14,unique_12_conditions,all,cycle_mean,fluxv_old,CT,12,unique_condition_equal_replicates_averaged,0.030446460595533704,0.04351217201418444,0.02223984853197124,0.11664550864265885,,
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.03261252473634732,0.03261252473634732,0.03261252473634732,0.03261252473634732,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.11664550864265885,0.11664550864265885,0.11664550864265885,0.11664550864265885,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.057329534049713554,0.057329534049713554,0.057329534049713554,0.057329534049713554,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.01071220924063157,0.01071220924063157,-0.01071220924063157,0.01071220924063157,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.01864810397119998,0.01864810397119998,-0.01864810397119998,0.01864810397119998,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.005766636606881731,0.005766636606881731,-0.005766636606881731,0.005766636606881731,,
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.006265690664728291,0.006265690664728291,0.006265690664728291,0.006265690664728291,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.0537732778104921,0.0537732778104921,0.0537732778104921,0.0537732778104921,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.023706867823580738,0.023706867823580738,0.023706867823580738,0.023706867823580738,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.009321628539869758,0.009321628539869758,-0.009321628539869758,0.009321628539869758,,
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.0047910940227917365,0.0047910940227917365,-0.0047910940227917365,0.0047910940227917365,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,fluxv_old,CT,1,single_unique_condition,0.025784451037508815,0.025784451037508815,0.025784451037508815,0.025784451037508815,,
izraelevitz2017_fig14,all_14_markers,all,cycle_mean,fluxv_v1_v2,CT,14,observation_equal_replicates_retained,0.18331375220940946,0.22259793067358163,-0.1678645495334859,0.37980800320433045,,
izraelevitz2017_fig14,theta_15_markers,theta_15,cycle_mean,fluxv_v1_v2,CT,9,observation_equal_replicates_retained,0.20674549035832454,0.24320257798662476,-0.2003561831739486,0.37980800320433045,,
