paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,-1.8071162347221947,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,51.51497480023149,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,1.7611491584164745,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,63.03709249138611,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,6.201133561057031,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,0.07093741587419643,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,-6.442362796831062,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,14.086874636986746,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,-5.907721442637669,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,28.100243028934344,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,-4.303332211502514,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,42.10698956981755,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,-1.6190741627643475,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,56.10273694977577,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,2.1620744871455435,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,one_state_ullt_local,Local one-state ULLT,existing_model,70.08261403928942,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,drag,gf,one_state_ullt_local,Local one-state ULLT,existing_model,7.064204947102214,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
