aoa_deg,model,model_label,status,mean_lift_n,mean_drag_n,mean_thrust_n,mean_lift_gf,mean_drag_gf,mean_thrust_gf,mean_CL,mean_CD,mean_CT,runtime_s,digitization_uncertainty_gf,data_role,error
15.0,fluxv_uvpm,FluxV current load channel,ok,0.394386363778187,-0.01660762354339967,0.01660762354339967,40.21621693220284,-1.6935062986238594,1.6935062986238594,0.6522859659654009,-0.027467784792602274,0.027467784792602274,140.71876768799848,,local_prediction,
15.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.394386363778187,-0.01660762354339967,0.01660762354339967,40.21621693220284,-1.6935062986238594,1.6935062986238594,0.6522859659654009,-0.027467784792602274,0.027467784792602274,8.058571631998348,,local_prediction,
15.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.3854216139342469,-0.01772175642323841,0.01772175642323841,39.30206685608714,-1.8071162347221947,1.8071162347221947,0.6374589307312888,-0.029310478426269992,0.029310478426269992,41.451766913996835,,local_prediction,
15.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,1.0708627425887105,0.01422099004350723,-0.01422099004350723,109.19761004917179,1.4501374111962015,-1.4501374111962015,1.7711280171408132,0.023520468960054143,-0.023520468960054143,0.037680991998058744,,local_prediction,
20.0,fluxv_uvpm,FluxV current load channel,ok,0.5187399589061326,0.019829801556540162,-0.019829801556540162,52.89675464160876,2.0220770147338962,-2.0220770147338962,0.8579576432065619,0.0327970296419397,-0.0327970296419397,140.50379321400396,,local_prediction,
20.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.5187399589061326,0.019829801556540162,-0.019829801556540162,52.89675464160876,2.0220770147338962,-2.0220770147338962,0.8579576432065619,0.0327970296419397,-0.0327970296419397,8.019492952000292,,local_prediction,
20.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.5051893276246902,0.01727097339438492,-0.01727097339438492,51.51497480023149,1.7611491584164745,-1.7611491584164745,0.8355458982106632,0.0285649165346274,-0.0285649165346274,41.42643764799868,,local_prediction,
20.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,1.1611811893045232,0.056548446990844256,-0.056548446990844256,118.40752849388151,5.766336821528682,-5.766336821528682,1.9205080684593547,0.09352696177399183,-0.09352696177399183,0.03790156800096156,,local_prediction,
25.0,fluxv_uvpm,FluxV current load channel,ok,0.6376627346211047,0.06580040044651148,-0.06580040044651148,65.02350289049825,6.709773515574786,-6.709773515574786,1.0546471455752489,0.10882901060520095,-0.10882901060520095,141.30936975400255,,local_prediction,
25.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.6376627346211047,0.06580040044651148,-0.06580040044651148,65.02350289049825,6.709773515574786,-6.709773515574786,1.0546471455752489,0.10882901060520095,-0.10882901060520095,8.034275762001926,,local_prediction,
25.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.6181827030806516,0.06081234643653993,-0.06081234643653993,63.03709249138611,6.201133561057031,-6.201133561057031,1.022428609749939,0.10057913706238289,-0.10057913706238289,41.50533671100129,,local_prediction,
25.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,1.2386586313800074,0.11415660055508625,-0.11415660055508625,126.30802887632447,11.640733640446662,-11.640733640446662,2.0486500449227174,0.18880660008387273,-0.18880660008387273,0.037638174995663576,,local_prediction,
0.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.0018000684138894901,-0.021638599800107634,0.021638599800107634,0.18355589461125768,-2.206523104231071,2.206523104231071,0.002977180430148165,-0.03578864856668911,0.03578864856668911,9.113902766999672,,exploratory_local_model,
5.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.12261741695064818,-0.008559053339832687,0.008559053339832687,12.503496805805058,-0.8727805458370276,0.8727805458370276,0.20280016655144703,-0.014156043129985476,0.014156043129985476,8.865090937997593,,exploratory_local_model,
10.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.23690103258634546,0.03174342097198128,-0.03174342097198128,24.157182379950896,3.23692810205129,-3.23692810205129,0.39181684021330765,0.052501277715069905,-0.052501277715069905,8.847671768002328,,exploratory_local_model,
15.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.3396423992507702,0.09630827952782811,-0.09630827952782811,34.633886113073295,9.820711407853661,-9.820711407853661,0.5617434851340274,0.15928679313468128,-0.15928679313468128,8.862259863999498,,exploratory_local_model,
20.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.4266510529030524,0.17909652809869997,-0.17909652809869997,43.50629959293463,18.262763339030144,-18.262763339030144,0.705649382770103,0.2962124519538761,-0.2962124519538761,8.80239516599977,,exploratory_local_model,
25.0,fluxv_periodic_v1,FluxV augmented v1 (exploratory),exploratory_local,0.4930936758622698,0.28062773470434776,-0.28062773470434776,50.28156157936398,28.616065088929222,-28.616065088929222,0.8155405820576205,0.4641375813674419,-0.4641375813674419,8.8468824019983,,exploratory_local_model,
