paper,reference,model,model_label,channel,units,mae,rmse,bias,max_abs_error,range_nrmse,prediction_half_amplitude,reference_half_amplitude,half_amplitude_error,positive_peak_phase_error_cycle,negative_peak_phase_error_cycle
izraelevitz2017_fig11,paper_uvlm,1_state,1-State ULLT,lift,paper_scaled_coefficient,0.08382116453125002,0.10292617742131348,-0.001565306718750016,0.21465077000000043,0.009048904946167832,5.754521075,5.687217295,0.06730378000000048,0.015625,0.0
izraelevitz2017_fig11,paper_uvlm,1_state,1-State ULLT,drag,paper_scaled_coefficient,0.23512944156250004,0.2957212479682824,-0.2185062740625,0.5296363800000001,0.08301417853230973,1.73022013,1.781149035,-0.050928905000000135,0.0078125,0.0078125
izraelevitz2017_fig11,paper_uvlm,qs_added_mass,QS + added mass,lift,paper_scaled_coefficient,0.8693151367187499,0.9296061355751961,-0.0021991550000000377,1.2159431399999998,0.08172767870083608,6.725530194999999,5.687217295,1.0383128999999993,0.0078125,0.0
izraelevitz2017_fig11,paper_uvlm,qs_added_mass,QS + added mass,drag,paper_scaled_coefficient,0.7937359774999999,0.8848660820882012,-0.7937359774999999,1.34506257,0.24839754133437833,2.3105798,1.781149035,0.5294307650000001,0.0078125,0.0078125
izraelevitz2017_fig11,paper_uvlm,fluxv_uvpm,FluxV old (UVLM load channel),lift,paper_scaled_coefficient,2.1494749844621883,2.4309904322866043,-0.002489064842751066,4.015293598088972,0.21372406804500374,7.519471048497305,5.687217295,1.8322537534973051,0.09375,0.0859375
izraelevitz2017_fig11,paper_uvlm,fluxv_uvpm,FluxV old (UVLM load channel),drag,paper_scaled_coefficient,0.8571871214332136,0.9531268336996641,0.03628319773040655,1.5198734126801021,0.26755954020985784,2.1273656391863924,1.781149035,0.34621660418639233,-0.4375,0.046875
izraelevitz2017_fig11,paper_uvlm,fluxv_periodic_v1,FluxV augmented v1 (exploratory),lift,paper_scaled_coefficient,2.078797564808148,2.2799673826259346,-0.0024896907507030337,3.47480036223468,0.20044665645450202,6.7735075376124225,5.687217295,1.0862902426124226,0.09375,0.0859375
izraelevitz2017_fig11,paper_uvlm,fluxv_periodic_v1,FluxV augmented v1 (exploratory),drag,paper_scaled_coefficient,0.8281897327066412,0.9207791019222205,0.03628183270946127,1.4584345345644092,0.2584789604431446,1.9233751450503955,1.781149035,0.14222611005039543,-0.4296875,0.046875
izraelevitz2017_fig11,paper_uvlm,ptera_free_wake_uvlm,Ptera free-wake UVLM,lift,paper_scaled_coefficient,2.093154793410495,2.355315896327818,-0.0025629622192257263,3.843468371897632,0.20707103088873782,7.49170705448032,5.687217295,1.8044897594803198,0.0546875,0.046875
izraelevitz2017_fig11,paper_uvlm,ptera_free_wake_uvlm,Ptera free-wake UVLM,drag,paper_scaled_coefficient,0.8739713666946396,0.9710929702327572,0.03679678714874293,1.525522202412834,0.27260295212543995,2.126611619182879,1.781149035,0.3454625841828791,-0.4375,-0.453125
