s_over_c,experiment_CL_leading_edge_axis,experiment_CL_mid_chord_axis,source_figure
1.01000000,2.302734851,3.128154150,21
1.02000000,2.344833366,3.103208543,21
1.03000000,2.370832516,3.078262936,21
1.04000000,2.376965616,3.053317329,21
1.05000000,2.358019843,3.028371722,21
1.06000000,2.305629149,3.003426116,21
1.07000000,2.221540238,2.978480509,21
1.08000000,2.189787527,2.961164917,21
1.09000000,2.187460752,2.945134053,21
1.10000000,2.211242551,2.929103189,21
1.11000000,2.254245785,2.913072325,21
1.12000000,2.307489095,2.897041460,21
1.13000000,2.360956370,2.881010596,21
1.14000000,2.405331081,2.864979732,21
1.15000000,2.433496244,2.853631747,21
1.16000000,2.440771907,2.844142560,21
1.17000000,2.425018554,2.834653373,21
1.18000000,2.402631340,2.825164185,21
1.19000000,2.423460305,2.815674998,21
1.20000000,2.471876075,2.806185810,21
1.21000000,2.540119892,2.796696623,21
1.22000000,2.615605348,2.786247734,21
1.23000000,2.681780378,2.775065229,21
1.24000000,2.721379674,2.763882724,21
1.25000000,2.720328031,2.752700218,21
1.26000000,2.669476516,2.741517713,21
1.27000000,2.544952869,2.730335208,21
1.28000000,2.440009290,2.719152702,21
1.29000000,2.382077812,2.710072476,21
1.30000000,2.353130443,2.703816527,21
1.31000000,2.346494031,2.697560578,21
1.32000000,2.359664332,2.691304629,21
1.33000000,2.392197047,2.685048680,21
1.34000000,2.445783095,2.678792730,21
1.35000000,2.511687593,2.672536781,21
1.36000000,2.493772143,2.665765193,21
1.37000000,2.455417702,2.657710662,21
1.38000000,2.406140800,2.649656130,21
1.39000000,2.357061546,2.641601598,21
1.40000000,2.319935078,2.633547066,21
1.41000000,2.306551941,2.625492534,21
1.42000000,2.327869541,2.617438003,21
1.43000000,2.393244382,2.610026392,21
1.44000000,2.474745702,2.606355681,21
1.45000000,2.510893165,2.602684971,21
1.46000000,2.512967129,2.599014260,21
1.47000000,2.492012219,2.595343549,21
1.48000000,2.457677109,2.591672839,21
1.49000000,2.418736232,2.588002128,21
1.50000000,2.383370419,2.584331418,21
1.51000000,2.359668663,2.580305021,21
1.52000000,2.374484869,2.576277755,21
1.53000000,2.407967124,2.572250489,21
1.54000000,2.438784989,2.568223223,21
1.55000000,2.464260875,2.564195957,21
1.56000000,2.481526505,2.560168691,21
1.57000000,2.487920578,2.556141425,21
1.58000000,2.480192670,2.550705928,21
1.59000000,2.454864229,2.545036465,21
1.60000000,2.407591876,2.539367001,21
1.61000000,2.370880366,2.533697537,21
1.62000000,2.368358608,2.528028073,21
1.63000000,2.384404732,2.522358609,21
1.64000000,2.412544110,2.516689145,21
1.65000000,2.445819070,2.514077562,21
1.66000000,2.476892520,2.512669974,21
1.67000000,2.498027713,2.511262386,21
1.68000000,2.501551642,2.509854798,21
1.69000000,2.479824288,2.508447210,21
1.70000000,2.425404653,2.507039622,21
1.71000000,2.385991570,2.505632034,21
1.72000000,2.370924233,2.504631375,21
1.73000000,2.372980436,2.503928473,21
1.74000000,2.386429430,2.503225571,21
1.75000000,2.405977373,2.502522669,21
1.76000000,2.426672649,2.501819767,21
1.77000000,2.443518216,2.501116865,21
1.78000000,2.451442985,2.500413963,21
1.79000000,2.444874985,2.498588495,21
1.80000000,2.418156352,2.495265023,21
1.81000000,2.364823510,2.491941552,21
1.82000000,2.350060724,2.488618080,21
1.83000000,2.350260409,2.485294608,21
1.84000000,2.361188946,2.481971136,21
1.85000000,2.378604782,2.478647664,21
1.86000000,2.398240761,2.476722134,21
1.87000000,2.415806332,2.478247021,21
1.88000000,2.426989801,2.479771909,21
1.89000000,2.427460605,2.481296796,21
1.90000000,2.412871615,2.482821684,21
1.91000000,2.378861459,2.484346571,21
1.92000000,2.359079888,2.485871459,21
1.93000000,2.352025650,2.486892228,21
1.94000000,2.351905720,2.485017823,21
1.95000000,2.356705675,2.483143417,21
1.96000000,2.364279236,2.481269012,21
1.97000000,2.372568097,2.479394607,21
1.98000000,2.379488925,2.477520201,21
1.99000000,2.383033871,2.475645796,21
2.00000000,2.380956785,2.473771390,21
2.01000000,2.371209931,2.470566275,21
2.02000000,2.351408048,2.467360102,21
2.03000000,2.326785840,2.464153929,21
2.04000000,2.327576307,2.460947757,21
2.05000000,2.333134395,2.457741584,21
2.06000000,2.341676948,2.454535411,21
2.07000000,2.351377315,2.451329238,21
2.08000000,2.360384867,2.451314431,21
2.09000000,2.366884230,2.451822727,21
2.10000000,2.368973338,2.452331022,21
2.11000000,2.364747183,2.452839318,21
2.12000000,2.352350522,2.453347614,21
2.13000000,2.329852808,2.453855910,21
2.14000000,2.316274738,2.454364205,21
2.15000000,2.321014404,2.452063797,21
2.16000000,2.325847429,2.448666436,21
2.17000000,2.330044598,2.445269075,21
2.18000000,2.332870009,2.441871714,21
2.19000000,2.333549642,2.438474354,21
2.20000000,2.331329272,2.435076993,21
2.21000000,2.325447349,2.431679632,21
2.22000000,2.315118449,2.429126779,21
2.23000000,2.299538000,2.427210895,21
2.24000000,2.278076088,2.425295011,21
2.25000000,2.285901757,2.423379127,21
2.26000000,2.290686544,2.421463244,21
2.27000000,2.292659448,2.419547360,21
2.28000000,2.292287565,2.417631476,21
2.29000000,2.289944346,2.417380105,21
2.30000000,2.286005255,2.419335089,21
2.31000000,2.280914211,2.421290072,21
2.32000000,2.275024724,2.423245056,21
2.33000000,2.268777706,2.425200039,21
2.34000000,2.262566832,2.427155022,21
2.35000000,2.256786430,2.429110006,21
2.36000000,2.251856016,2.429411025,21
2.37000000,2.248163425,2.425662214,21
2.38000000,2.246088076,2.421913403,21
2.39000000,2.246080642,2.418164593,21
2.40000000,2.248409110,2.414415782,21
2.41000000,2.245690483,2.410666971,21
2.42000000,2.238607446,2.406918160,21
2.43000000,2.232435751,2.403273338,21
2.44000000,2.227081831,2.400262663,21
2.45000000,2.222473941,2.397251988,21
2.46000000,2.218480668,2.394241312,21
2.47000000,2.215006532,2.391230637,21
2.48000000,2.211956256,2.388219961,21
2.49000000,2.209244858,2.385209286,21
2.50000000,2.206760622,2.382200304,21
2.51000000,2.204406979,2.381185001,21
2.52000000,2.202089107,2.380169699,21
2.53000000,2.199707265,2.379154396,21
2.54000000,2.197162215,2.378139093,21
2.55000000,2.194360061,2.377123790,21
2.56000000,2.191205775,2.376108487,21
2.57000000,2.187591924,2.375093184,21
2.58000000,2.183415293,2.367416124,21
2.59000000,2.179712109,2.358579599,21
2.60000000,2.176443386,2.349743074,21
2.61000000,2.173278777,2.340906549,21
2.62000000,2.170195797,2.332070023,21
2.63000000,2.167171964,2.323233498,21
2.64000000,2.164184795,2.314396973,21
2.65000000,2.161211806,2.308565873,21
2.66000000,2.158230514,2.303952112,21
2.67000000,2.155218437,2.299338351,21
2.68000000,2.152153090,2.294724590,21
2.69000000,2.149011990,2.290110829,21
2.70000000,2.145771762,2.285497068,21
2.71000000,2.142409779,2.280883307,21
2.72000000,2.138904051,2.277320123,21
2.73000000,2.135232093,2.274544046,21
2.74000000,2.131371424,2.271767968,21
2.75000000,2.127299559,2.268991891,21
2.76000000,2.122994016,2.266215814,21
2.77000000,2.118432311,2.263439736,21
2.78000000,2.113906133,2.260663659,21
2.79000000,2.110350327,2.255883218,21
2.80000000,2.106698902,2.248463686,21
2.81000000,2.102974209,2.241044155,21
2.82000000,2.099176320,2.233624623,21
2.83000000,2.095305310,2.226205092,21
2.84000000,2.091343380,2.218785560,21
2.85000000,2.087298231,2.211366029,21
2.86000000,2.083180278,2.205534744,21
2.87000000,2.078989591,2.203736159,21
2.88000000,2.074724912,2.201937574,21
2.89000000,2.070360987,2.200138990,21
2.90000000,2.065924633,2.198340405,21
2.91000000,2.061415916,2.196541820,21
2.92000000,2.056834901,2.194743235,21
2.93000000,2.052168946,2.192911215,21
2.94000000,2.047415795,2.190878032,21
2.95000000,2.042590637,2.188844849,21
