model,theta_max_deg,phase_offset_deg,phase,lift_n,drag_n,CL,CD,CT
one_state_ullt_local,15.0,90.0,0.8984375,-47.0243027144385,-6.316844418672687,-0.32689912956117856,-0.04391284554663806,0.04391284554663806
one_state_ullt_local,15.0,90.0,0.90625,-39.216415078637844,-3.904357206705619,-0.2726209898648928,-0.02714194360560061,0.02714194360560061
one_state_ullt_local,15.0,90.0,0.9140625,-31.339636046394435,-1.7152634121531367,-0.21786393743133267,-0.011924007035384125,0.011924007035384125
one_state_ullt_local,15.0,90.0,0.921875,-23.4294787690593,0.2282226113475474,-0.16287484924951223,0.0015865365074894601,-0.0015865365074894601
one_state_ullt_local,15.0,90.0,0.9296875,-15.52060208070591,1.907211413819729,-0.10789466334586056,0.01325837311938244,-0.01325837311938244
one_state_ullt_local,15.0,90.0,0.9375,-7.646249390108013,3.3063379803611284,-0.05315447812619093,0.022984689733278142,-0.022984689733278142
one_state_ullt_local,15.0,90.0,0.9453125,0.16227192689282954,4.413875342156128,0.0011280667355263855,0.030683963909141757,-0.030683963909141757
one_state_ullt_local,15.0,90.0,0.953125,7.8760492012346885,5.221762071487242,0.05475197886292313,0.03630015497115785,-0.03630015497115785
one_state_ullt_local,15.0,90.0,0.9609375,15.468941938325727,5.725547935206763,0.10753553722165962,0.03980232620664056,-0.03980232620664056
one_state_ullt_local,15.0,90.0,0.96875,22.91786242756098,5.924266219745352,0.15931824283429952,0.041183757307023665,-0.041183757307023665
one_state_ullt_local,15.0,90.0,0.9765625,30.202948741583892,5.8202448386194385,0.20996202142032255,0.04046063124277749,-0.04046063124277749
one_state_ullt_local,15.0,90.0,0.984375,37.307625210710945,5.418870921482858,0.2593516437965478,0.03767039775569546,-0.03767039775569546
one_state_ullt_local,15.0,90.0,0.9921875,44.2185517500206,4.728324891718321,0.30739437361395155,0.03286992474447858,-0.03286992474447858
fluxv_periodic_v1,15.0,90.0,0.0,48.882967370398795,4.189476862735351,0.33982001989036126,0.0291240116426942,-0.0291240116426942
fluxv_periodic_v1,15.0,90.0,0.0078125,56.049845746829554,2.9475141991223186,0.389642051641758,0.020490252283240168,-0.020490252283240168
fluxv_periodic_v1,15.0,90.0,0.015625,62.98383436820768,1.4043261422894702,0.437845102274546,0.009762462536068191,-0.009762462536068191
fluxv_periodic_v1,15.0,90.0,0.0234375,69.67246342474009,-0.4216642363008454,0.4843424853365748,-0.00293128582152271,0.00293128582152271
fluxv_periodic_v1,15.0,90.0,0.03125,76.10595040350778,-2.509551718165202,0.5290661956736256,-0.01744566585577622,0.01744566585577622
fluxv_periodic_v1,15.0,90.0,0.0390625,82.27697673207727,-4.8362749566376735,0.5719653567214529,-0.03362036186361046,0.03362036186361046
fluxv_periodic_v1,15.0,90.0,0.046875,88.18041155416505,-7.37694018668069,0.6130043002754018,-0.0512823197080678,0.0512823197080678
fluxv_periodic_v1,15.0,90.0,0.0546875,93.81309345960811,-10.10514454138016,0.6521610491413232,-0.07024799441954922,0.07024799441954922
fluxv_periodic_v1,15.0,90.0,0.0625,99.17363165025832,-12.99329812926757,0.68942593489932,-0.09032558918268219,0.09032558918268219
fluxv_periodic_v1,15.0,90.0,0.0703125,104.24766282103543,-15.906220704289034,0.7246991080746031,-0.1105753706634663,0.1105753706634663
fluxv_periodic_v1,15.0,90.0,0.078125,108.92164328587877,-17.918968386992375,0.757191246338125,-0.12456740090148147,0.12456740090148147
fluxv_periodic_v1,15.0,90.0,0.0859375,113.22130337815045,-19.05497397047548,0.7870812194039241,-0.1324645777862169,0.1324645777862169
fluxv_periodic_v1,15.0,90.0,0.09375,117.20577527104012,-19.611837686529242,0.8147800967579669,-0.13633573064876184,0.13633573064876184
fluxv_periodic_v1,15.0,90.0,0.1015625,120.92598011834507,-19.865569011480254,0.8406418672930536,-0.1380995962348734,0.1380995962348734
fluxv_periodic_v1,15.0,90.0,0.109375,124.41995335333871,-20.044922321863503,0.8649309421606918,-0.13934640772731044,0.13934640772731044
fluxv_periodic_v1,15.0,90.0,0.1171875,127.71188239821203,-20.31892430868529,0.8878154652100007,-0.14125118899613665,0.14125118899613665
fluxv_periodic_v1,15.0,90.0,0.125,130.8135339243222,-20.795699025831333,0.9093772348814135,-0.14456558668063357,0.14456558668063357
fluxv_periodic_v1,15.0,90.0,0.1328125,133.72689448485772,-21.52961203683689,0.9296300611087445,-0.1496675341976071,0.1496675341976071
fluxv_periodic_v1,15.0,90.0,0.140625,136.44710654731276,-22.533368527110884,0.9485401757538966,-0.15664535426129947,0.15664535426129947
fluxv_periodic_v1,15.0,90.0,0.1484375,138.96510807471134,-23.791913000900212,0.966044582199621,-0.16539438549083516,0.16539438549083516
fluxv_periodic_v1,15.0,90.0,0.15625,141.2696516867684,-25.275575446691846,0.9820650919643712,-0.17570837068774858,0.17570837068774858
fluxv_periodic_v1,15.0,90.0,0.1640625,143.34858825763433,-26.950696289514916,0.996517247896506,-0.1873533183811572,0.1873533183811572
fluxv_periodic_v1,15.0,90.0,0.171875,145.18953381833688,-28.78679837075223,1.0093149602840286,-0.20011736032319014,0.20011736032319014
fluxv_periodic_v1,15.0,90.0,0.1796875,146.7800845776362,-30.760085594026698,1.0203720016163642,-0.213835073046755,0.213835073046755
