model,theta_max_deg,phase_offset_deg,phase,CT
v5c0_corrected_v4b_075c,15.0,15.0,0.6328125,0.17798879424473388
v4b_legacy_025c,15.0,15.0,0.640625,0.20778759524744317
v5c0_corrected_v4b_075c,15.0,15.0,0.640625,0.2199737266688054
v4b_legacy_025c,15.0,15.0,0.6484375,0.24493458071171842
v5c0_corrected_v4b_075c,15.0,15.0,0.6484375,0.2574333015409172
v4b_legacy_025c,15.0,15.0,0.65625,0.291429766912613
v5c0_corrected_v4b_075c,15.0,15.0,0.65625,0.3041444824395185
v4b_legacy_025c,15.0,15.0,0.6640625,0.3303684863086125
v5c0_corrected_v4b_075c,15.0,15.0,0.6640625,0.3431980461769558
v4b_legacy_025c,15.0,15.0,0.671875,0.3684534165206871
v5c0_corrected_v4b_075c,15.0,15.0,0.671875,0.3812942573477827
v4b_legacy_025c,15.0,15.0,0.6796875,0.40604189705545396
v5c0_corrected_v4b_075c,15.0,15.0,0.6796875,0.4187902394461194
v4b_legacy_025c,15.0,15.0,0.6875,0.4403868461732662
v5c0_corrected_v4b_075c,15.0,15.0,0.6875,0.45294087639984504
v4b_legacy_025c,15.0,15.0,0.6953125,0.47345682609632456
v5c0_corrected_v4b_075c,15.0,15.0,0.6953125,0.48571879539348756
v4b_legacy_025c,15.0,15.0,0.703125,0.5023822534150038
v5c0_corrected_v4b_075c,15.0,15.0,0.703125,0.5142604327613297
v4b_legacy_025c,15.0,15.0,0.7109375,0.5278110491867009
v5c0_corrected_v4b_075c,15.0,15.0,0.7109375,0.5392214843340545
v4b_legacy_025c,15.0,15.0,0.71875,0.54859323025907
v5c0_corrected_v4b_075c,15.0,15.0,0.71875,0.5594612502956399
v4b_legacy_025c,15.0,15.0,0.7265625,0.566371125946033
v5c0_corrected_v4b_075c,15.0,15.0,0.7265625,0.5766325684705886
v4b_legacy_025c,15.0,15.0,0.734375,0.5782045510798405
v5c0_corrected_v4b_075c,15.0,15.0,0.734375,0.5878066777277378
v4b_legacy_025c,15.0,15.0,0.7421875,0.5874881036383233
v5c0_corrected_v4b_075c,15.0,15.0,0.7421875,0.5963901908261697
v4b_legacy_025c,15.0,15.0,0.75,0.5918659173636358
v5c0_corrected_v4b_075c,15.0,15.0,0.75,0.6000395183043677
v4b_legacy_025c,15.0,15.0,0.7578125,0.5917546650549531
v5c0_corrected_v4b_075c,15.0,15.0,0.7578125,0.5991835499515124
v4b_legacy_025c,15.0,15.0,0.765625,0.5889715676654986
v5c0_corrected_v4b_075c,15.0,15.0,0.765625,0.5956513591643832
v4b_legacy_025c,15.0,15.0,0.7734375,0.5728440811100207
v5c0_corrected_v4b_075c,15.0,15.0,0.7734375,0.5787816112745265
v4b_legacy_025c,15.0,15.0,0.78125,0.5589264040252416
v5c0_corrected_v4b_075c,15.0,15.0,0.78125,0.5641388270133589
v4b_legacy_025c,15.0,15.0,0.7890625,0.5401983195090917
v5c0_corrected_v4b_075c,15.0,15.0,0.7890625,0.5447120206115524
v4b_legacy_025c,15.0,15.0,0.796875,0.5170713977945762
v5c0_corrected_v4b_075c,15.0,15.0,0.796875,0.5209207443620867
v4b_legacy_025c,15.0,15.0,0.8046875,0.4892171899939187
v5c0_corrected_v4b_075c,15.0,15.0,0.8046875,0.4924431729731951
v4b_legacy_025c,15.0,15.0,0.8125,0.4556977884826245
v5c0_corrected_v4b_075c,15.0,15.0,0.8125,0.4583466047530609
v4b_legacy_025c,15.0,15.0,0.8203125,0.4197135569085465
v5c0_corrected_v4b_075c,15.0,15.0,0.8203125,0.4218374924512872
v4b_legacy_025c,15.0,15.0,0.828125,0.3803356728159786
v5c0_corrected_v4b_075c,15.0,15.0,0.828125,0.38215096266313114
v4b_legacy_025c,15.0,15.0,0.8359375,0.3388372479973068
v5c0_corrected_v4b_075c,15.0,15.0,0.8359375,0.3404276388959882
v4b_legacy_025c,15.0,15.0,0.84375,0.2961691320953039
v5c0_corrected_v4b_075c,15.0,15.0,0.84375,0.2974435016753794
v4b_legacy_025c,15.0,15.0,0.8515625,0.2525469287170937
v5c0_corrected_v4b_075c,15.0,15.0,0.8515625,0.2533540503539556
v4b_legacy_025c,15.0,15.0,0.859375,0.2065513720724003
v5c0_corrected_v4b_075c,15.0,15.0,0.859375,0.2068548113316829
v4b_legacy_025c,15.0,15.0,0.8671875,0.15784614528839552
v5c0_corrected_v4b_075c,15.0,15.0,0.8671875,0.15786514907838395
v4b_legacy_025c,15.0,15.0,0.875,0.10750050089388154
v5c0_corrected_v4b_075c,15.0,15.0,0.875,0.10738749446107013
v4b_legacy_025c,15.0,15.0,0.8828125,0.061578889081741
v5c0_corrected_v4b_075c,15.0,15.0,0.8828125,0.061366852684734935
v4b_legacy_025c,15.0,15.0,0.890625,0.012762011074256853
v5c0_corrected_v4b_075c,15.0,15.0,0.890625,0.012471512033845994
v4b_legacy_025c,15.0,15.0,0.8984375,-0.049705286527894035
v5c0_corrected_v4b_075c,15.0,15.0,0.8984375,-0.05005275543434201
v4b_legacy_025c,15.0,15.0,0.90625,-0.13543181440379262
v5c0_corrected_v4b_075c,15.0,15.0,0.90625,-0.13581390734990637
v4b_legacy_025c,15.0,15.0,0.9140625,-0.1875403283467741
v5c0_corrected_v4b_075c,15.0,15.0,0.9140625,-0.1879339348770695
v4b_legacy_025c,15.0,15.0,0.921875,-0.21360518891665253
v5c0_corrected_v4b_075c,15.0,15.0,0.921875,-0.2139865446623071
v4b_legacy_025c,15.0,15.0,0.9296875,-0.2513883873533531
v5c0_corrected_v4b_075c,15.0,15.0,0.9296875,-0.2517332129575649
v4b_legacy_025c,15.0,15.0,0.9375,-0.2760728084406281
v5c0_corrected_v4b_075c,15.0,15.0,0.9375,-0.2763564816509156
v4b_legacy_025c,15.0,15.0,0.9453125,-0.2883573536340033
v5c0_corrected_v4b_075c,15.0,15.0,0.9453125,-0.2885551179446406
v4b_legacy_025c,15.0,15.0,0.953125,-0.31928159982233356
v5c0_corrected_v4b_075c,15.0,15.0,0.953125,-0.3193688108920551
v4b_legacy_025c,15.0,15.0,0.9609375,-0.33549392344549706
v5c0_corrected_v4b_075c,15.0,15.0,0.9609375,-0.33544633188650297
v4b_legacy_025c,15.0,15.0,0.96875,-0.3223859815085108
v5c0_corrected_v4b_075c,15.0,15.0,0.96875,-0.32218004773737174
v4b_legacy_025c,15.0,15.0,0.9765625,-0.35285704596205586
v5c0_corrected_v4b_075c,15.0,15.0,0.9765625,-0.3524702798853846
