case,phase_t_over_T,variable,value
W3,0.221135029354,cl,2.69154228856
W3,0.223091976517,cl,2.70149253731
W3,0.225048923679,cl,2.71144278607
W3,0.227005870841,cl,2.71144278607
W3,0.228962818004,cl,2.71144278607
W3,0.230919765166,cl,2.72139303483
W3,0.232876712329,cl,2.72139303483
W3,0.234833659491,cl,2.73134328358
W3,0.236790606654,cl,2.73134328358
W3,0.238747553816,cl,2.74129353234
W3,0.240704500978,cl,2.74129353234
W3,0.242661448141,cl,2.74129353234
W3,0.244618395303,cl,2.74129353234
W3,0.246575342466,cl,2.74129353234
W3,0.248532289628,cl,2.75124378109
W3,0.250489236791,cl,2.75124378109
W3,0.252446183953,cl,2.75124378109
W3,0.254403131115,cl,2.74129353234
W3,0.256360078278,cl,2.74129353234
W3,0.25831702544,cl,2.74129353234
W3,0.260273972603,cl,2.74129353234
W3,0.262230919765,cl,2.74129353234
W3,0.264187866928,cl,2.74129353234
W3,0.26614481409,cl,2.73134328358
W3,0.268101761252,cl,2.73134328358
W3,0.270058708415,cl,2.73134328358
W3,0.272015655577,cl,2.72139303483
W3,0.27397260274,cl,2.72139303483
W3,0.275929549902,cl,2.71144278607
W3,0.277886497065,cl,2.71144278607
W3,0.279843444227,cl,2.70149253731
W3,0.281800391389,cl,2.70149253731
W3,0.283757338552,cl,2.69154228856
W3,0.285714285714,cl,2.6815920398
W3,0.287671232877,cl,2.67164179104
W3,0.289628180039,cl,2.67164179104
W3,0.291585127202,cl,2.66169154229
W3,0.293542074364,cl,2.65174129353
W3,0.295499021526,cl,2.64179104478
W3,0.297455968689,cl,2.63184079602
W3,0.299412915851,cl,2.62189054726
W3,0.301369863014,cl,2.61194029851
W3,0.303326810176,cl,2.60199004975
W3,0.305283757339,cl,2.592039801
W3,0.307240704501,cl,2.58208955224
W3,0.309197651663,cl,2.57213930348
W3,0.311154598826,cl,2.56218905473
W3,0.313111545988,cl,2.55223880597
W3,0.315068493151,cl,2.54228855721
W3,0.317025440313,cl,2.5223880597
W3,0.318982387476,cl,2.51243781095
W3,0.320939334638,cl,2.50248756219
W3,0.3228962818,cl,2.49253731343
W3,0.324853228963,cl,2.47263681592
W3,0.326810176125,cl,2.46268656716
W3,0.328767123288,cl,2.45273631841
W3,0.33072407045,cl,2.4328358209
W3,0.332681017613,cl,2.42288557214
W3,0.334637964775,cl,2.41293532338
W3,0.336594911937,cl,2.39303482587
W3,0.3385518591,cl,2.38308457711
W3,0.340508806262,cl,2.37313432836
W3,0.342465753425,cl,2.35323383085
W3,0.344422700587,cl,2.34328358209
W3,0.34637964775,cl,2.32338308458
W3,0.348336594912,cl,2.30348258706
W3,0.350293542074,cl,2.29353233831
W3,0.352250489237,cl,2.2736318408
W3,0.354207436399,cl,2.26368159204
W3,0.356164383562,cl,2.25373134328
W3,0.358121330724,cl,2.23383084577
W3,0.360078277886,cl,2.22388059701
W3,0.362035225049,cl,2.2039800995
W3,0.363992172211,cl,2.19402985075
W3,0.365949119374,cl,2.17412935323
W3,0.367906066536,cl,2.15422885572
W3,0.369863013699,cl,2.14427860697
W3,0.371819960861,cl,2.12437810945
W3,0.373776908023,cl,2.1144278607
W3,0.375733855186,cl,2.09452736318
W3,0.377690802348,cl,2.08457711443
W3,0.379647749511,cl,2.06467661692
W3,0.381604696673,cl,2.05472636816
W3,0.383561643836,cl,2.03482587065
W3,0.385518590998,cl,2.02487562189
W3,0.38747553816,cl,2.00497512438
W3,0.389432485323,cl,1.98507462687
W3,0.391389432485,cl,1.97512437811
W3,0.393346379648,cl,1.9552238806
W3,0.39530332681,cl,1.94527363184
W3,0.397260273973,cl,1.92537313433
W3,0.399217221135,cl,1.91542288557
W3,0.401174168297,cl,1.90547263682
W3,0.40313111546,cl,1.8855721393
W3,0.405088062622,cl,1.87562189055
W3,0.407045009785,cl,1.85572139303
W3,0.409001956947,cl,1.84577114428
W3,0.41095890411,cl,1.83582089552
W3,0.412915851272,cl,1.81592039801
W3,0.414872798434,cl,1.80597014925
W3,0.416829745597,cl,1.78606965174
W3,0.418786692759,cl,1.77611940299
W3,0.420743639922,cl,1.75621890547
W3,0.422700587084,cl,1.74626865672
W3,0.424657534247,cl,1.73631840796
W3,0.426614481409,cl,1.7263681592
W3,0.428571428571,cl,1.70646766169
W3,0.430528375734,cl,1.69651741294
W3,0.432485322896,cl,1.68656716418
W3,0.434442270059,cl,1.67661691542
W3,0.436399217221,cl,1.65671641791
W3,0.438356164384,cl,1.64676616915
W3,0.440313111546,cl,1.6368159204
W3,0.442270058708,cl,1.62686567164
W3,0.444227005871,cl,1.61691542289
W3,0.446183953033,cl,1.59701492537
W3,0.448140900196,cl,1.58706467662
W3,0.450097847358,cl,1.57711442786
W3,0.452054794521,cl,1.5671641791
W3,0.454011741683,cl,1.55721393035
W3,0.455968688845,cl,1.54726368159
W3,0.457925636008,cl,1.53731343284
W3,0.45988258317,cl,1.52736318408
W3,0.461839530333,cl,1.50746268657
W3,0.463796477495,cl,1.50746268657
W3,0.465753424658,cl,1.48756218905
W3,0.46771037182,cl,1.4776119403
W3,0.469667318982,cl,1.46766169154
W3,0.471624266145,cl,1.45771144279
W3,0.473581213307,cl,1.44776119403
W3,0.47553816047,cl,1.43781094527
W3,0.477495107632,cl,1.42786069652
W3,0.479452054795,cl,1.41791044776
W3,0.481409001957,cl,1.407960199
W3,0.483365949119,cl,1.407960199
W3,0.485322896282,cl,1.38805970149
W3,0.487279843444,cl,1.37810945274
W3,0.489236790607,cl,1.36815920398
W3,0.491193737769,cl,1.35820895522
W3,0.493150684932,cl,1.35820895522
W3,0.495107632094,cl,1.34825870647
W3,0.497064579256,cl,1.33830845771
W3,0.499021526419,cl,1.32835820896
W3,0.500978473581,cl,1.3184079602
W3,0.502935420744,cl,1.30845771144
W3,0.504892367906,cl,1.29850746269
W3,0.506849315068,cl,1.28855721393
W3,0.508806262231,cl,1.27860696517
W3,0.510763209393,cl,1.26865671642
W3,0.512720156556,cl,1.25870646766
W3,0.514677103718,cl,1.24875621891
W3,0.516634050881,cl,1.23880597015
