aoa_deg,model,phase,lift_n,drag_n,CL,CD,CT
0.0,fluxv_periodic_v3_persistent,0.1796875,-0.15255830792999067,-0.03553170698479605,-0.2523201925666197,-0.05876682345440455,0.05876682345440455
0.0,fluxv_periodic_v3_persistent,0.1875,-0.1279323487320476,-0.029825493994412762,-0.21159067182616836,-0.04932916791079179,0.04932916791079179
0.0,fluxv_periodic_v3_persistent,0.1953125,-0.10378476553319095,-0.024453306248811264,-0.17165234971558208,-0.0404439654929972,0.0404439654929972
0.0,fluxv_periodic_v3_persistent,0.203125,-0.08016422723925662,-0.019469114045131138,-0.13258572101655539,-0.03220047909303834,0.03220047909303834
0.0,fluxv_periodic_v3_persistent,0.2109375,-0.057111401223347825,-0.014923494810438809,-0.09445804656562885,-0.02468236004600199,0.02468236004600199
0.0,fluxv_periodic_v3_persistent,0.21875,-0.03479308176854314,-0.01098589158402935,-0.057545191808588046,-0.018169854645152146,0.018169854645152146
0.0,fluxv_periodic_v3_persistent,0.2265625,-0.013180934901828258,-0.007687155360136776,-0.02180029444324729,-0.012713988160181561,0.012713988160181561
0.0,fluxv_periodic_v3_persistent,0.234375,0.007846742723461227,-0.004957556722490777,0.012977933892089543,-0.008199433278014921,0.008199433278014921
0.0,fluxv_periodic_v3_persistent,0.2421875,0.028315700272258933,-0.0028053937110113364,0.04683208041763116,-0.004639914344831365,0.004639914344831365
0.0,fluxv_periodic_v3_persistent,0.25,0.0482570522677454,-0.0012340362952817374,0.07981360626051678,-0.0020410050418399723,0.0020410050418399723
0.0,fluxv_periodic_v3_persistent,0.2578125,0.06755852973986513,-0.0004492781780617572,0.11173682682232616,-0.0007430729793918839,0.0007430729793918839
0.0,fluxv_periodic_v3_persistent,0.265625,0.08647411692128643,-0.00020008887285655197,0.14302181329659372,-0.0003309322423317085,0.0003309322423317085
0.0,fluxv_periodic_v3_persistent,0.2734375,0.1050501414194774,-0.00046037962892109263,0.1737451881301473,-0.0007614339605577331,0.0007614339605577331
0.0,fluxv_periodic_v3_persistent,0.28125,0.12333198460432916,-0.001202428191385177,0.20398200876263228,-0.0019887275685901654,0.0019887275685901654
0.0,fluxv_periodic_v3_persistent,0.2890625,0.14133554193126843,-0.0024611195441220785,0.2337585651052874,-0.004070510257542499,0.004070510257542499
0.0,fluxv_periodic_v3_persistent,0.296875,0.15912559188476305,-0.0041960090427002605,0.26318199599503916,-0.0069398895676744425,0.0069398895676744425
0.0,fluxv_periodic_v3_persistent,0.3046875,0.17678617234845473,-0.006276388766138258,0.2923912938949732,-0.010380684235313613,0.010380684235313613
0.0,fluxv_periodic_v3_persistent,0.3125,0.1943458783015246,-0.008671159657924858,0.3214337527922301,-0.01434145871405142,0.01434145871405142
0.0,fluxv_periodic_v3_persistent,0.3203125,0.21183102553873842,-0.011349946551016593,0.35035289707098083,-0.01877197471728358,0.01877197471728358
0.0,fluxv_periodic_v3_persistent,0.328125,0.22925929880615278,-0.014350007767802549,0.3791779759972343,-0.02373385476303276,0.02373385476303276
0.0,fluxv_periodic_v3_persistent,0.3359375,0.2466678852170298,-0.01756201686094889,0.4079704943143676,-0.029046280968496034,0.029046280968496034
0.0,fluxv_periodic_v3_persistent,0.34375,0.26406765690577777,-0.02095185028518412,0.43674843373104516,-0.034652815505863264,0.034652815505863264
0.0,fluxv_periodic_v3_persistent,0.3515625,0.2814651399481973,-0.024500025267826922,0.4655225878954467,-0.04052123530566426,0.04052123530566426
0.0,fluxv_periodic_v3_persistent,0.359375,0.29886480640953045,-0.028200938118169594,0.494300353273739,-0.046642272276651575,0.046642272276651575
0.0,fluxv_periodic_v3_persistent,0.3671875,0.31626357625004375,-0.0320469129420084,0.5230766357073068,-0.053003231055787386,0.053003231055787386
0.0,fluxv_periodic_v3_persistent,0.375,0.3336515788116153,-0.03598897072084861,0.5518351098554205,-0.059523103957905284,0.059523103957905284
0.0,fluxv_periodic_v3_persistent,0.3828125,0.351017457747322,-0.04001685209505452,0.5805569931576194,-0.06618492275863244,0.06618492275863244
0.0,fluxv_periodic_v3_persistent,0.390625,0.36834782439829605,-0.04412099284776669,0.6092201417593369,-0.0729728689484923,0.0729728689484923
0.0,fluxv_periodic_v3_persistent,0.3984375,0.3855990799129205,-0.048307316132672154,0.6377524463747205,-0.07989673898694478,0.07989673898694478
0.0,fluxv_periodic_v3_persistent,0.40625,0.4027371549043668,-0.05255209424356502,0.6660975587500316,-0.08691728899746644,0.08691728899746644
0.0,fluxv_periodic_v3_persistent,0.4140625,0.41973648461125923,-0.05684164397793834,0.6942131966549494,-0.09401188797202936,0.09401188797202936
0.0,fluxv_periodic_v3_persistent,0.421875,0.4365617752038206,-0.06116933600896995,0.7220409866973811,-0.10116957149287718,0.10116957149287718
0.0,fluxv_periodic_v3_persistent,0.4296875,0.45315885640382614,-0.06552964635287013,0.7494913352313397,-0.10838120329812767,0.10838120329812767
0.0,fluxv_periodic_v3_persistent,0.4375,0.4693656287201366,-0.06991548045473735,0.776296141650741,-0.1156350495170843,0.1156350495170843
0.0,fluxv_periodic_v3_persistent,0.4453125,0.4851938656987565,-0.07430767721358021,0.8024748785325647,-0.12289941910153386,0.12289941910153386
0.0,fluxv_periodic_v3_persistent,0.453125,0.5005795530388067,-0.07869650218186774,0.8279216709431937,-0.13015821199302083,0.13015821199302083
0.0,fluxv_periodic_v3_persistent,0.4609375,0.5154551567623962,-0.08307148740845607,0.852524822662753,-0.13739411497219825,0.13739411497219825
0.0,fluxv_periodic_v3_persistent,0.46875,0.5295829587440634,-0.08740952686735508,0.8758911654396616,-0.14456891237578046,0.14456891237578046
0.0,fluxv_periodic_v3_persistent,0.4765625,0.5428354478822054,-0.0916842750131518,0.8978098053137846,-0.15163903061421952,0.15163903061421952
0.0,fluxv_periodic_v3_persistent,0.484375,0.5552174582519861,-0.09588206165595467,0.9182887374890069,-0.15858186020139392,0.15858186020139392
0.0,fluxv_periodic_v3_persistent,0.4921875,0.5666286150178672,-0.0999827400813894,0.9371619493883963,-0.16536407995722846,0.16536407995722846
0.0,fluxv_periodic_v3_persistent,0.5,0.576965195459538,-0.10396485965302865,0.9542578912804601,-0.17195021211071573,0.17195021211071573
