model,phase,CL_alpha,CD_alpha,CL,CD,CT
fluxv_periodic_v3_persistent,0.390625,5.163654263995275,-2.4288661663741418,1.3364520658468166,-0.6286368218627757,0.6286368218627757
fluxv_periodic_v3_persistent,0.3984375,4.964212022299187,-2.2334088371388896,1.284832615297929,-0.5780487425518187,0.5780487425518187
fluxv_periodic_v3_persistent,0.40625,4.7423365581686205,-2.034458798983203,1.227407019539977,-0.5265566836532538,0.5265566836532538
fluxv_periodic_v3_persistent,0.4140625,4.500126455142514,-1.8350375510229082,1.164718431960577,-0.47494266668301727,0.47494266668301727
fluxv_periodic_v3_persistent,0.421875,4.240032901409854,-1.6381408071878185,1.0974012667461688,-0.4239820394598237,0.4239820394598237
fluxv_periodic_v3_persistent,0.4296875,3.9648121188420755,-1.4466598980844456,1.026168886609608,-0.3744231334103262,0.3744231334103262
fluxv_periodic_v3_persistent,0.4375,3.6774639784508705,-1.2633049600632549,0.9517977153015712,-0.3269673834368497,0.3269673834368497
fluxv_periodic_v3_persistent,0.4453125,3.3811579051264964,-1.0905333320616566,0.8751080603456792,-0.2822507956566681,0.2822507956566681
fluxv_periodic_v3_persistent,0.453125,3.079148032499156,-0.9304867175432835,0.796942153500737,-0.24082768371513158,0.24082768371513158
fluxv_periodic_v3_persistent,0.4609375,2.774680494364824,-0.7849405898236906,0.7181401560160938,-0.203157573920377,0.203157573920377
fluxv_periodic_v3_persistent,0.46875,2.4708966612540966,-0.6552689585874659,0.639515114412792,-0.16959608614693114,0.16959608614693114
fluxv_periodic_v3_persistent,0.4765625,2.1707369419080065,-0.5424269237224237,0.5618280624733962,-0.14039041843573558,0.14039041843573558
fluxv_periodic_v3_persistent,0.484375,1.8768503331769302,-0.44695240797873265,0.48576461103320095,-0.11567979543932785,0.11567979543932785
fluxv_periodic_v3_persistent,0.4921875,1.5915150731581094,-0.3689871299557942,0.4119144115010503,-0.09550089663027837,0.09550089663027837
fluxv_periodic_v3_persistent,0.5,1.3165754125527505,-0.3083153721783149,0.3407547910823602,-0.07979789021761975,0.07979789021761975
fluxv_periodic_v3_persistent,0.5078125,1.0533986125093144,-0.2644175984440917,0.272639623001981,-0.06843631033760159,0.06843631033760159
fluxv_periodic_v3_persistent,0.515625,0.802854845237626,-0.23653469851457726,0.20779412440033443,-0.06121968480315552,0.06121968480315552
fluxv_periodic_v3_persistent,0.5234375,0.5653208628534551,-0.2237377931367289,0.14631580590026433,-0.057907601972993494,0.057907601972993494
fluxv_periodic_v3_persistent,0.53125,0.3407063448660324,-0.22499826173204399,0.08818129083859663,-0.05823383525121466,0.05823383525121466
fluxv_periodic_v3_persistent,0.5390625,0.12850001005976336,-0.23925300015566678,0.03325824989933226,-0.06192323303820292,0.06192323303820292
fluxv_periodic_v3_persistent,0.546875,-0.07216885780868583,-0.2654608033702394,-0.018678674864183665,-0.06870631164043338,0.06870631164043338
fluxv_periodic_v3_persistent,0.5546875,-0.26245868721536775,-0.3026470283038531,-0.06792930680394264,-0.07833081486871883,0.07833081486871883
fluxv_periodic_v3_persistent,0.5625,-0.4437391382233864,-0.3499351030941083,-0.11484814002959233,-0.09056986923066926,0.09056986923066926
fluxv_periodic_v3_persistent,0.5703125,-0.617514925483392,-0.40656478814204206,-0.15982462335016578,-0.10522671023923197,0.10522671023923197
fluxv_periodic_v3_persistent,0.578125,-0.785354165912511,-0.4718981872555155,-0.20326461528876272,-0.12213623821108305,0.12213623821108305
fluxv_periodic_v3_persistent,0.5859375,-0.948824358780867,-0.5454152550473408,-0.24557381450967555,-0.14116385549570054,0.14116385549570054
fluxv_periodic_v3_persistent,0.59375,-1.1094379160724535,-0.6267009321962456,-0.28714366203840297,-0.16220213683589188,0.16220213683589188
fluxv_periodic_v3_persistent,0.6015625,-1.268608058373206,-0.7154261114397333,-0.32833992627751607,-0.18516590300424138,0.18516590300424138
fluxv_periodic_v3_persistent,0.609375,-1.4276149840815002,-0.8113244808987731,-0.3694939469540242,-0.20998622741451878,0.20998622741451878
fluxv_periodic_v3_persistent,0.6171875,-1.5875815572418066,-0.914167004696813,-0.41089634266769726,-0.23660383121986073,0.23660383121986073
fluxv_periodic_v3_persistent,0.625,-1.7494573406661411,-1.0237354689939249,-0.452792878358806,-0.2649622365225889,0.2649622365225889
fluxv_periodic_v3_persistent,0.6328125,-1.9140095935800745,-1.139796206387149,-0.4953821353274587,-0.2950009657485975,0.2950009657485975
fluxv_periodic_v3_persistent,0.640625,-2.081819807990069,-1.2620748485958018,-0.5388146147795028,-0.3266490071614738,0.3266490071614738
fluxv_periodic_v3_persistent,0.6484375,-2.2532844258319806,-1.390232759824609,-0.5831929234382149,-0.3598187153680473,0.3598187153680473
fluxv_periodic_v3_persistent,0.65625,-2.428618516435122,-1.5238456686470674,-0.6285727253420388,-0.39440028084284623,0.39440028084284623
fluxv_periodic_v3_persistent,0.6640625,-2.6078613686764,-1.6623849334764895,-0.6749641892005785,-0.4302568810752025,0.4302568810752025
fluxv_periodic_v3_persistent,0.671875,-2.7908831418118822,-1.8052018306998354,-0.7223337097564744,-0.4672206140390537,0.4672206140390537
fluxv_periodic_v3_persistent,0.6796875,-2.9773919104231323,-1.951515230799782,-0.7706057311516851,-0.505089308538625,0.505089308538625
fluxv_periodic_v3_persistent,0.6875,-3.166940623875817,-2.100403012993751,-0.8196645481679202,-0.5436243021535001,0.5436243021535001
fluxv_periodic_v3_persistent,0.6953125,-3.3589336763851714,-2.250797553094758,-0.8693560066847095,-0.5825492734110754,0.5825492734110754
fluxv_periodic_v3_persistent,0.703125,-3.552632947507145,-2.4014855942004094,-0.919489067073553,-0.6215502083184096,0.6215502083184096
fluxv_periodic_v3_persistent,0.7109375,-3.747163324260482,-2.551112770169667,-0.9698372334282852,-0.6602765711241596,0.6602765711241596
